,start,stop,strand,gene_name,length,operon
b1158,1209685,1210239,+,pinE,554,pinE
b1159,1210346,1211179,+,mcrA,833,mcrA
b1160,1211680,1212003,-,iraM,323,iraM 
b1161,1212703,1213107,-,ycgX,404,ycgX
b1162,1213328,1214059,-,bluR,731,bluR
b1163,1214264,1215475,-,bluF,1211,bluF
b1164,1215789,1216025,+,ycgZ,236,ycgZ-ymgA-ariR-ymgC 
b1165,1216068,1216340,+,ymgA,272,ycgZ-ymgA-ariR-ymgC 
b1166,1216369,1216635,+,ariR,266,ycgZ-ymgA-ariR-ymgC 
b1167,1216748,1216996,+,ymgC,248,ycgZ-ymgA-ariR-ymgC 
b1168,1217328,1218851,+,pdeG,1523,pdeG
b1171,1222305,1222634,-,ymgD,329,ymgGD
b1172,1222644,1222988,-,ymgG,344,ymgGD
b1174,1224279,1224545,-,minE,266,minCDE
b1175,1224549,1225361,-,minD,812,minCDE
b1176,1225385,1226080,-,minC,695,minCDE
b1177,1226600,1226968,+,ycgJ,368,ycgJ
b1178,1227071,1227472,-,pliG,401,pliG
b1179,1227681,1228007,+,ycgL,326,ycgL
b1180,1228079,1228738,+,ycgM,659,ycgM
b1181,1228815,1229276,+,ycgN,461,ycgN
b1182,1229483,1230394,-,hlyE,911,hlyE
b1183,1230767,1231186,+,umuD,419,umuDC
b1184,1231186,1232454,+,umuC,1268,umuDC
b1185,1232500,1233030,-,dsbB,530,dsbB
b1186,1233176,1234717,-,nhaB,1541,nhaB
b1187,1234938,1235657,+,fadR,719,fadR 
b1188,1235709,1237241,-,ycgB,1532,ycgB
b1189,1237571,1238869,+,dadA,1298,dadAX 
b1190,1238879,1239949,+,dadX,1070,dadAX 
b1191,1240335,1242071,-,cvrA,1736,cvrA
b1192,1242166,1243080,-,ldcA,914,ldcA
b1193,1243180,1243791,+,emtA,611,emtA
b1194,1243793,1244527,-,ycgR,734,ycgR
b1195,1244728,1244982,+,ymgE,254,ymgE
b1196,1245160,1245600,+,ycgY,440,ycgY
b1197,1245679,1247376,-,treA,1697,treA
b1198,1247696,1249114,-,dhaM,1418,dhaM 
b1199,1249125,1249757,-,dhaL,632,dhaKLM
b1200,1249768,1250838,-,dhaK,1070,dhaKLM
b1201,1251066,1252985,+,dhaR,1919,dhaR
b1202,1253085,1255952,-,ycgV,2867,ycgV
b1203,1256721,1257812,-,ychF,1091,ychF 
b1204,1257929,1258513,-,pth,584,pth-ychF
b1205,1258791,1259069,+,ychH,278,ychH
b1206,1259124,1260803,-,dauA,1679,dauA
b1207,1260928,1261875,-,prs,947,lolB-ispE-prs 
b1208,1262026,1262877,-,ispE,851,lolB-ispE-prs
b1209,1262877,1263500,-,lolB,623,lolB-ispE-prs
b1210,1263714,1264970,+,hemA,1256,hemA 
b1211,1265012,1266094,+,prfA,1082,hemA-prfA-prmC
b1212,1266094,1266927,+,prmC,833,hemA-prfA-prmC
b1213,1266924,1267316,+,ychQ,392,ychQA-kdsA
b1214,1267320,1268129,+,ychA,809,ychQA-kdsA
b1215,1268165,1269019,+,kdsA,854,kdsA 
b1216,1270749,1271849,-,chaA,1100,chaA
b1217,1272119,1272349,+,chaB,230,chaBC
b1218,1272507,1273202,+,chaC,695,chaC 
b1219,1273246,1273599,-,ychN,353,ychN
b1220,1273784,1275178,+,ychO,1394,ychO
b1221,1275179,1275829,-,narL,650,narXL
b1222,1275822,1277618,-,narX,1796,narXL
b1223,1277957,1279348,+,narK,1391,narK 
b1224,1279864,1283607,+,narG,3743,narGHJI
b1225,1283604,1285142,+,narH,1538,narGHJI
b1226,1285139,1285849,+,narJ,710,narGHJI
b1227,1285849,1286526,+,narI,677,narGHJI
b1228,1286709,1286984,+,ychS,275,ychS
b1229,1287087,1287176,-,tpr,89,tyrV-tpr 
b1230,1287244,1287328,-,tyrV,84,tyrV-tpr 
b1231,1287538,1287622,-,tyrT,84,tyrTV-tpr
b1232,1287782,1288624,-,purU,842,purU
b1233,1288674,1289132,-,ychJ,458,ychJ
b1234,1289245,1290150,+,rssA,905,rssAB
b1235,1290242,1291255,+,rssB,1013,rssAB 
b1236,1291457,1292365,+,galU,908,galU
b1237,1292509,1292922,-,hns,413,hns
b1238,1293527,1294144,+,tdk,617,tdk
b1241,1295446,1298121,-,adhE,2675,adhE 
b1242,1298598,1299245,+,ychE,647,ychE
b1243,1301182,1302813,+,oppA,1631,oppABCDF
b1244,1302899,1303819,+,oppB,920,oppBCDF 
b1245,1303834,1304742,+,oppC,908,oppBCDF 
b1246,1304754,1305767,+,oppD,1013,oppBCDF 
b1247,1305764,1306768,+,oppF,1004,oppBCDF 
b1248,1306821,1307150,-,yciU,329,clsA-yciU
b1249,1307185,1308645,-,clsA,1460,clsA-yciU
b1250,1309016,1310269,-,kch,1253,kch
b1251,1310569,1310865,-,yciI,296,yciI
b1252,1311089,1311808,+,tonB,719,tonB
b1253,1311848,1312246,-,yciA,398,yciA
b1254,1312351,1312890,-,yciB,539,yciCB
b1255,1312920,1313663,-,yciC,743,yciCB
b1256,1314020,1314658,+,ompW,638,ompW
b1257,1314718,1315224,-,yciE,506,yciE 
b1258,1315270,1315770,-,yciF,500,yciGFE
b1259,1315856,1316035,-,yciG,179,yciG 
b1260,1316416,1317222,-,trpA,806,trpCBA 
b1261,1317222,1318415,-,trpB,1193,trpCBA 
b1262,1318427,1319788,-,trpC,1361,trpCBA 
b1263,1319789,1321384,-,trpD,1595,trpLEDCBA
b1264,1321384,1322946,-,trpE,1562,trpLEDCBA
b1265,1323038,1323082,-,trpL,44,trpL 
b1266,1323220,1324101,+,yciV,881,yciVOQ
b1267,1324098,1324718,+,yciO,620,yciVOQ
b1268,1324746,1326641,+,yciQ,1895,yciVOQ
b1269,1326852,1327727,+,rluB,875,rluB
b1270,1327767,1328357,-,btuR,590,yciK-btuR
b1271,1328354,1329112,-,yciK,758,yciK-btuR
b1272,1329332,1330381,+,sohB,1049,sohB 
b1273,1330417,1330668,-,yciN,251,yciN
b1274,1331048,1333645,+,topA,2597,topA 
b1275,1333855,1334829,+,cysB,974,cysB
b1276,1335831,1338506,+,acnA,2675,acnA 
b1277,1338570,1339160,-,ribA,590,ribA 
b1278,1339330,1340094,+,pgpB,764,pgpB
b1279,1340243,1340551,+,lapA,308,yciSM-pyrF-yciH 
b1280,1340558,1341727,+,lapB,1169,yciSM-pyrF-yciH 
b1281,1341921,1342658,+,pyrF,737,yciSM-pyrF-yciH 
b1282,1342658,1342984,+,yciH,326,yciSM-pyrF-yciH 
b1283,1343110,1343328,-,osmB,218,osmB 
b1284,1343597,1344346,-,yciT,749,yciT 
b1285,1344757,1346742,-,pdeR,1985,pdeR
b1286,1346978,1348912,-,rnb,1934,rnb 
b1287,1348980,1350107,-,yciW,1127,yciW
b1288,1350251,1351039,-,fabI,788,fabI 
b1289,1351407,1351760,-,ycjD,353,ycjD
b1290,1351828,1352634,-,sapF,806,sapABCDF
b1291,1352636,1353628,-,sapD,992,sapABCDF
b1292,1353628,1354518,-,sapC,890,sapABCDF
b1293,1354505,1355470,-,sapB,965,sapABCDF
b1294,1355467,1357110,-,sapA,1643,sapABCDF
b1295,1357423,1357668,-,ymjA,245,ymjA
b1296,1357802,1359187,-,puuP,1385,puuAP 
b1297,1359490,1360908,-,puuA,1418,puuAP
b1298,1361120,1361884,+,puuD,764,puuDRCBE
b1299,1361911,1362468,+,puuR,557,puuDRCBE
b1300,1362743,1364230,+,puuC,1487,puuDRCBE 
b1301,1364232,1365512,+,puuB,1280,puuDRCBE 
b1302,1365550,1366815,+,puuE,1265,puuDRCBE 
b1303,1366935,1367912,-,pspF,977,pspF 
b1304,1368079,1368747,+,pspA,668,pspABCDE
b1305,1368801,1369025,+,pspB,224,pspBCDE 
b1306,1369025,1369384,+,pspC,359,pspBCDE 
b1307,1369393,1369614,+,pspD,221,pspBCDE 
b1308,1369689,1370003,+,pspE,314,pspBCDE 
b1309,1370216,1371895,+,ycjM,1679,ycjMNOPQRSTUV-ymjB-ompG
b1310,1371909,1373201,+,ycjN,1292,ycjMNOPQRSTUV-ymjB-ompG
b1311,1373222,1374103,+,ycjO,881,ycjMNOPQRSTUV-ymjB-ompG
b1312,1374090,1374932,+,ycjP,842,ycjMNOPQRSTUV-ymjB-ompG
b1313,1374963,1376015,+,ycjQ,1052,ycjMNOPQRSTUV-ymjB-ompG
b1314,1376034,1376822,+,ycjR,788,ycjMNOPQRSTUV-ymjB-ompG
b1315,1376832,1377887,+,ycjS,1055,ycjMNOPQRSTUV-ymjB-ompG
b1316,1377884,1380151,+,ycjT,2267,ycjMNOPQRSTUV-ymjB-ompG
b1317,1380148,1380807,+,ycjU,659,ycjMNOPQRSTUV-ymjB-ompG
b1318,1380821,1381789,+,ycjV,968,ycjMNOPQRSTUV-ymjB-ompG
b1319,1381947,1382852,+,ompG,905,ycjMNOPQRSTUV-ymjB-ompG 
b1320,1382963,1383961,-,ycjW,998,ycjW
b1321,1384117,1385514,+,ycjX,1397,ycjXF-tyrR 
b1322,1385511,1386572,+,ycjF,1061,ycjXF-tyrR 
b1323,1386720,1388261,+,tyrR,1541,ycjXF-tyrR 
b1324,1388305,1388811,-,tpx,506,tpx
b1325,1388930,1389895,+,ycjG,965,ycjG
b1326,1389870,1390598,-,mpaA,728,ycjY-ymjDC-mpaA 
b1327,1390933,1391853,-,ycjY,920,ycjY-ymjDC-mpaA 
b1328,1391991,1392890,+,pgrR,899,pgrR
b1329,1393227,1394840,+,mppA,1613,mppA
b1330,1394891,1395922,-,ynaI,1031,ynaI
b1331,1396112,1397092,+,insH4,980,insH4
b1332,1397365,1397622,+,ynaJ,257,ynaJ
b1333,1397672,1398622,-,uspE,950,uspE
b1334,1398774,1399526,-,fnr,752,fnr
b1335,1399721,1400236,-,ogt,515,ogt 
b1336,1400247,1401773,-,abgT,1526,abgABT-ogt
b1337,1401810,1403255,-,abgB,1445,abgABT-ogt
b1338,1403255,1404565,-,abgA,1310,abgABT-ogt
b1339,1404741,1405649,+,abgR,908,abgR
b1340,1405979,1406542,+,smrA,563,ydaL
b1341,1406563,1407795,-,dgcM,1232,ydaM
b1342,1408050,1409033,+,zntB,983,zntB
b1343,1409511,1410884,+,dbpA,1373,
b1344,1411013,1411948,-,ttcA,935,ttcA
b1345,1412000,1413235,-,intR,1235,recET-ralR-rcbA-xisR-intR
b1346,1413237,1413452,-,xisR,215,recET-ralR-rcbA-xisR-intR
b1347,1413531,1413740,-,rcbA,209,recET-ralR-rcbA-xisR-intR
b1348,1413733,1413927,-,ralR,194,recET-ralR-rcbA-xisR-intR
b1349,1413984,1414793,-,recT,809,recET-ralR-rcbA-xisR-intR
b1350,1414786,1417386,-,recE,2600,recET-ralR-rcbA-xisR-intR
b1351,1417488,1417763,-,racC,275,racC
b1352,1418008,1418229,-,kilR,221,kilR-ydaE
b1353,1418671,1419159,+,sieB,488,sieB
b1354,1419168,1419344,+,b1354,176,
b1355,1419322,1419456,-,ydaG,134,ydaGF
b1356,1419765,1420241,-,racR,476,racR
b1357,1420365,1420661,+,ydaS,296,ydaSTUVW-rzpR
b1358,1420684,1421106,+,ydaT,422,ydaSTUVW-rzpR
b1359,1421119,1421976,+,ydaU,857,ydaSTUVW-rzpR
b1360,1421983,1422729,+,ydaV,746,ydaSTUVW-rzpR
b1361,1422752,1423312,+,ydaW,560,ydaSTUVW-rzpR
b1362,1423345,1423644,+,rzpR,299,ydaSTUVW-rzpR
b1363,1423782,1425239,+,trkG,1457,trkG
b1364,1425178,1425459,+,b1364,281,
b1365,1425377,1425640,+,ynaK,263,ynaK-ydaY
b1366,1425621,1425980,+,ydaY,359,ynaK-ydaY
b1367,1426055,1426288,+,b1367,233,
b1368,1426454,1427482,+,ynaA,1028,ynaA-lomR
b1370,1427746,1428726,-,insH5,980,insH-5
b1372,1429049,1432411,+,stfR,3362,stfR-tfaR
b1373,1432411,1432986,+,tfaR,575,stfR-tfaR
b1374,1433084,1433674,-,pinR,590,pinR
b1375,1433991,1434224,-,ynaE,233,ynaE
b1376,1435185,1435619,-,uspF,434,uspF
b1377,1435760,1436893,-,ompN,1133,ydbK-ompN 
b1378,1437260,1440784,-,ydbK,3524,ydbK-ompN 
b1379,1441321,1441743,-,hslJ,422,hslJ
b1380,1441854,1442843,-,ldhA,989,ldhA
b1381,1443051,1445690,+,ydbH,2639,ydbH-ynbE-ydbL
b1382,1445687,1445872,+,ynbE,185,ydbH-ynbE-ydbL
b1383,1445880,1446206,+,ydbL,326,ydbH-ynbE-ydbL
b1384,1446378,1447283,-,feaR,905,feaR 
b1385,1447519,1449018,+,feaB,1499,feaB 
b1386,1449076,1451349,-,tynA,2273,tynA
b1387,1451597,1453642,-,paaZ,2045,paaZ
b1388,1453927,1454856,+,paaA,929,paaABCDEFGHIJK
b1389,1454868,1455155,+,paaB,287,paaABCDEFGHIJK
b1390,1455164,1455910,+,paaC,746,paaABCDEFGHIJK
b1391,1455925,1456422,+,paaD,497,paaABCDEFGHIJK
b1392,1456430,1457500,+,paaE,1070,paaABCDEFGHIJK
b1393,1457497,1458264,+,paaF,767,paaABCDEFGHIJK
b1394,1458264,1459052,+,paaG,788,paaABCDEFGHIJK
b1395,1459054,1460481,+,paaH,1427,paaABCDEFGHIJK
b1396,1460471,1460893,+,paaI,422,paaABCDEFGHIJK
b1397,1460893,1462098,+,paaJ,1205,paaJ 
b1398,1462125,1463438,+,paaK,1313,paaABCDEFGHIJK
b1399,1463539,1464489,+,paaX,950,paaXY
b1400,1464471,1465061,+,paaY,590,paaXY
b1402,1467921,1468826,-,insD2,905,insC2D2CD2
b1403,1468784,1469149,-,insC2,365,insC2D2CD2
b1404,1469358,1470509,+,insI2,1151,insI2
b1406,1474221,1475081,+,pdxI,860,pdxI
b1407,1475144,1477450,+,ydbD,2306,ydbD
b1408,1477621,1478226,+,ynbA,605,ynbABCD
b1409,1478226,1479122,+,ynbB,896,ynbABCD
b1410,1479138,1480895,+,ynbC,1757,ynbABCD
b1411,1480909,1482201,+,ynbD,1292,ynbABCD
b1412,1482255,1482860,-,azoR,605,azoR
b1413,1483061,1486963,+,hrpA,3902,hrpA
b1414,1487235,1488035,+,ydcF,800,ydcF
b1415,1488232,1489671,+,aldA,1439,aldA
b1418,1490902,1491432,+,cybB,530,cybB
b1419,1491677,1491850,+,ydcA,173,ydcA
b1420,1491962,1492129,-,mokB,167,mokB
b1421,1492470,1494110,+,trg,1640,trg
b1422,1494148,1495071,-,ydcI,923,ydcI
b1423,1495288,1496631,+,ydcJ,1343,ydcJ
b1424,1496856,1498511,+,opgD,1655,opgD
b1425,1498432,1498635,-,b1425,203,
b1426,1498651,1498875,+,ydcH,224,ydcH
b1427,1498938,1499477,+,rimL,539,rimL
b1428,1499469,1500449,-,ydcK,980,ydcK
b1429,1500573,1501565,+,tehA,992,tehAB
b1430,1501562,1502155,+,tehB,593,tehAB
b1431,1502457,1503125,+,ydcL,668,ydcL
b1432,1503717,1504865,+,insQ,1148,insQ
b1433,1504905,1506080,-,ydcO,1175,ydcO
b1434,1506172,1506708,+,sutR,536,sutR
b1435,1506781,1508742,+,rlhA,1961,rlhA
b1436,1508834,1509064,-,yncJ,230,yncJ
b1437,1509250,1509447,-,b1437,197,
b1438,1509508,1509924,+,hicB,416,hicAB 
b1439,1510003,1511409,+,ydcR,1406,ydcR
b1440,1511654,1512799,+,ydcS,1145,ydcSTUV-patD 
b1441,1512817,1513830,+,ydcT,1013,ydcSTUV-patD 
b1442,1513831,1514772,+,ydcU,941,ydcSTUV-patD 
b1443,1514762,1515556,+,ydcV,794,ydcSTUV-patD 
b1444,1515578,1517002,+,patD,1424,ydcSTUV-patD 
b1445,1517389,1517562,+,ortT,173,ortT
b1446,1517648,1517881,+,ydcY,233,ydcY
b1447,1517882,1518331,-,ydcZ,449,mnaT-ydcZ
b1448,1518328,1518846,-,mnaT,518,mnaT-ydcZ
b1449,1519027,1520064,+,curA,1037,curA
b1450,1520262,1520927,+,mcbR,665,mcbR
b1451,1520963,1523065,-,yncD,2102,yncD
b1452,1523307,1524368,+,yncE,1061,yncE
b1453,1524481,1525980,-,ansP,1499,ansP 
b1454,1526247,1526864,+,yncG,617,yncG
b1455,1526940,1527152,+,yncH,212,yncH
b1456,1527890,1529938,+,rhsE,2048,rhsE-ydcD
b1457,1529922,1530404,+,ydcD,482,rhsE-ydcD
b1459,1530586,1531639,+,yncI,1053,yncI
b1460,1531816,1532952,+,ydcC,1136,ydcC
b1461,1533052,1533285,+,pptA,233,pptA
b1462,1533282,1533851,-,yddH,569,yddH
b1463,1534024,1534869,+,nhoA,845,nhoA
b1464,1534965,1535858,-,yddE,893,yddE
b1465,1535937,1536617,-,narV,680,narWV 
b1466,1536614,1537309,-,narW,695,narWV 
b1467,1537309,1538853,-,narY,1544,narZYWV
b1468,1538850,1542590,-,narZ,3740,narZYWV
b1469,1542672,1544060,-,narU,1388,narU 
b1470,1544384,1544719,-,yddJ,335,yddLKJ
b1471,1544758,1545714,-,yddK,956,yddLKJ
b1472,1545738,1546028,-,yddL,290,yddLKJ
b1473,1546288,1547169,-,yddG,881,yddG
b1474,1547401,1550448,+,fdnG,3047,fdnGHI
b1475,1550461,1551345,+,fdnH,884,fdnGHI
b1476,1551338,1551991,+,fdnI,653,fdnGHI
b1477,1552398,1552682,-,yddM,284,yddM
b1478,1552828,1553838,-,adhP,1010,adhP
b1479,1553972,1555669,-,maeA,1697,maeA
b1480,1555826,1555963,-,sra,137,bdm-sra 
b1481,1556065,1556280,-,bdm,215,bdm-sra
b1482,1556625,1557056,+,osmC,431,osmC 
b1483,1557112,1558038,-,ddpF,926,ddpXABCDF 
b1484,1558031,1559017,-,ddpD,986,ddpXABCDF 
b1485,1559014,1559910,-,ddpC,896,ddpXABCDF 
b1486,1559907,1560929,-,ddpB,1022,ddpXABCDF 
b1487,1560931,1562481,-,ddpA,1550,ddpXABCDF 
b1488,1562495,1563076,-,ddpX,581,ddpXABCDF 
b1489,1563334,1565733,-,dosP,2399,dosCP
b1490,1565758,1567140,-,dosC,1382,dosCP
b1491,1567504,1568823,-,digH,1319,digH
b1492,1568954,1570489,-,gadC,1535,gadBC 
b1493,1570645,1572045,-,gadB,1400,gadBC 
b1494,1572407,1575202,-,pqqL,2795,pqqL
b1495,1575247,1577619,-,yddB,2372,yddAB
b1496,1577657,1579342,-,yddA,1685,yddAB
b1497,1579633,1580790,-,ydeM,1157,ydeNM 
b1498,1580842,1582524,-,ydeN,1682,ydeNM 
b1499,1582926,1583687,-,ydeO,761,safA-ydeO 
b1500,1583762,1583959,-,safA,197,safA-ydeO
b1501,1584207,1586486,-,ydeP,2279,ydeP
b1502,1586820,1587734,-,ydeQ,914,ydeQ
b1503,1587793,1588296,-,ydeR,503,ydeTSR
b1504,1588309,1588839,-,ydeS,530,ydeTSR
b1505,1588853,1590001,-,ydeT,1148,ydeTSR
b1506,1590334,1590536,-,yneL,202,yneL
b1507,1590854,1592176,-,hipA,1322,hipBA
b1508,1592176,1592442,-,hipB,266,hipBA
b1511,1598617,1600209,-,lsrK,1592,lsrRK 
b1512,1600288,1601241,-,lsrR,953,lsrRK
b1513,1601490,1603025,+,lsrA,1535,lsrACDBFG-tam
b1514,1603019,1604047,+,lsrC,1028,lsrACDBFG-tam
b1515,1604047,1605039,+,lsrD,992,lsrACDBFG-tam
b1516,1605051,1606073,+,lsrB,1022,lsrACDBFG-tam
b1517,1606100,1606975,+,lsrF,875,lsrACDBFG-tam
b1518,1606999,1607289,+,lsrG,290,lsrACDBFG-tam
b1519,1607346,1608104,+,tam,758,lsrACDBFG-tam 
b1520,1608108,1609022,-,yneE,914,yneE
b1521,1609229,1610680,-,uxaB,1451,uxaB 
b1522,1610907,1611854,-,dgcF,947,dgcF
b1523,1611966,1612325,-,yneG,359,glsB-yneG
b1524,1612325,1613251,-,glsB,926,glsB-yneG
b1525,1613315,1614703,-,sad,1388,sad
b1526,1614804,1615685,+,yneJ,881,yneJ
b1527,1615763,1616878,+,yneK,1115,yneK
b1528,1617028,1618218,+,ydeA,1190,ydeA
b1529,1618243,1618908,-,marC,665,marC
b1530,1619120,1619554,+,marR,434,marRAB
b1531,1619574,1619957,+,marA,383,marRAB
b1532,1619989,1620207,+,marB,218,marRAB
b1533,1620238,1621137,-,eamA,899,eamA
b1534,1621332,1622519,+,ydeE,1187,ydeE
b1535,1622960,1623850,-,dgcZ,890,dgcZ
b1536,1624105,1624497,-,ydeI,392,ydeI
b1537,1624773,1625291,+,ydeJ,518,ydeJ
b1538,1625335,1627380,-,dcp,2045,dcp
b1539,1627517,1628263,+,ydfG,746,ydfG
b1540,1628352,1629038,+,ydfH,686,ydfH
b1541,1629215,1629418,+,ydfZ,203,ydfZ
b1542,1629453,1630913,-,ydfI,1460,ydfI
b1543,1631002,1632285,-,ydfJ,1283,ydfJ
b1544,1633072,1633305,+,ydfK,233,yntF-ydfK
b1545,1633622,1634212,+,pinQ,590,pinQ
b1546,1634310,1634885,-,tfaQ,575,nohA-stfQ-tfaQ
b1547,1634885,1635847,-,stfQ,962,nohA-stfQ-tfaQ
b1548,1635798,1636367,-,nohA,569,nohA-stfQ-tfaQ
b1549,1637047,1637457,+,ydfO,410,ynfO-ydfO
b1550,1637609,1637782,-,gnsB,173,gnsB
b1551,1637954,1638109,-,ynfN,155,ynfN
b1552,1638455,1638667,-,cspI,212,cspI 
b1553,1639030,1639527,-,rzpQ,497,essQ-ydfR-rrrQ-rzpQ
b1554,1639524,1640057,-,rrrQ,533,essQ-ydfR-rrrQ-rzpQ
b1555,1640054,1640365,-,ydfR,311,essQ-ydfR-rrrQ-rzpQ
b1556,1640370,1640585,-,essQ,215,essQ-ydfR-rrrQ-rzpQ
b1557,1641339,1641554,-,cspB,215,cspB
b1558,1641855,1642067,+,cspF,212,cspF
b1559,1642489,1643241,-,ydfT,752,ydfUT
b1560,1643255,1644304,-,ydfU,1049,ydfUT
b1561,1644651,1644902,-,rem,251,rem
b1562,1645119,1645274,-,hokD,155,relBE-hokD 
b1563,1645346,1645633,-,relE,287,relBE-hokD 
b1564,1645633,1645872,-,relB,239,relBE-hokD 
b1565,1645897,1646202,+,ydfV,305,ydfV
b1566,1646405,1646737,+,flxA,332,flxA
b1567,1647174,1647323,-,ydfW,149,dicC-ydfXW
b1568,1647346,1647636,-,ydfX,290,dicC-ydfXW
b1569,1647620,1647850,-,dicC,230,dicC-ydfXW
b1570,1647934,1648341,+,dicA,407,dicA
b1571,1648508,1648663,+,ydfA,155,ydfABC
b1572,1648665,1648793,+,ydfB,128,ydfABC
b1573,1648823,1649041,+,ydfC,218,ydfABC
b1574,1649382,1649434,+,dicF,52,dicF
b1575,1649609,1649797,+,dicB,188,dicB-ydfDE-insD-intQ
b1576,1649794,1649985,+,ydfD,191,dicB-ydfDE-insD-intQ
b1577,1650078,1650998,+,ydfE,920,dicB-ydfDE-insD-intQ
b1578,1650881,1651537,+,insD7,656,dicB-ydfDE-insD-intQ
b1579,1651512,1652708,+,intQ,1196,dicB-ydfDE-insD-intQ
b1580,1652896,1653915,-,rspB,1019,rspA-rspB
b1581,1653927,1655141,-,rspA,1214,rspA-rspB
b1582,1655347,1655673,-,ynfA,326,ynfA
b1583,1655808,1656149,+,ynfB,341,ynfB-speG
b1584,1656184,1656744,+,speG,560,ynfB-speG
b1585,1656747,1657457,-,ynfC,710,ynfC
b1586,1657565,1657870,+,ynfD,305,ynfD
b1587,1658069,1660495,+,ynfE,2426,ynfEFGH-dmsD 
b1588,1660556,1662979,+,ynfF,2423,ynfEFGH-dmsD 
b1589,1662990,1663607,+,ynfG,617,ynfEFGH-dmsD 
b1590,1663609,1664463,+,ynfH,854,ynfEFGH-dmsD 
b1591,1664506,1665120,+,dmsD,614,ynfEFGH-dmsD 
b1592,1665315,1666571,+,clcB,1256,clcB
b1593,1666524,1667219,-,ynfK,695,mlc-ynfK 
b1594,1667344,1668564,-,mlc,1220,mlc-ynfK 
b1595,1668699,1669592,-,ynfL,893,ynfL
b1596,1669699,1670952,+,ynfM,1253,ynfM
b1597,1671376,1671684,+,asr,308,asr 
b1598,1671960,1672781,+,ydgD,821,ydgD
b1599,1672820,1673149,-,mdtI,329,mdtUJI
b1600,1673136,1673501,-,mdtJ,365,mdtUJI
b1601,1673913,1674947,+,tqsA,1034,tqsA
b1602,1674972,1676360,-,pntB,1388,pntAB
b1603,1676371,1677903,-,pntA,1532,pntAB
b1604,1678427,1679371,+,ydgH,944,ydgH
b1605,1679557,1680939,+,ydgI,1382,ydgI-folM
b1606,1680976,1681698,+,folM,722,ydgI-folM
b1607,1681695,1682030,-,ydgC,335,ydgC
b1608,1682159,1682878,+,rstA,719,rstAB
b1609,1682882,1684183,+,rstB,1301,rstAB
b1610,1684259,1685188,+,tus,929,tus
b1611,1685185,1686588,-,fumC,1403,fumAC 
b1612,1686731,1688377,-,fumA,1646,fumAC 
b1613,1688576,1689751,+,manA,1175,manA
b1614,1689852,1691360,+,ydgA,1508,ydgA
b1615,1691586,1692851,-,uidC,1265,uidABC
b1616,1692890,1694263,-,uidB,1373,uidABC
b1617,1694260,1696071,-,uidA,1811,uidABC
b1618,1696462,1697052,-,uidR,590,uidR
b1619,1697273,1698040,-,hdhA,767,hdhA
b1620,1698152,1699180,-,malI,1028,malI
b1621,1699355,1700947,+,malX,1592,malXY
b1622,1700957,1702129,+,malY,1172,malY 
b1623,1702233,1703234,+,add,1001,add
b1624,1703268,1704308,-,ydgJ,1040,ydgJ
b1625,1704949,1705164,+,cnu,215,cnu
b1626,1705250,1705690,+,ydgK,440,ydgK-rsxABCDGE-nth
b1627,1705767,1706348,+,rsxA,581,rsxABCDGE-nth 
b1628,1706348,1706926,+,rsxB,578,rsxABCDGE-nth 
b1629,1706919,1709141,+,rsxC,2222,rsxABCDGE-nth 
b1630,1709142,1710200,+,rsxD,1058,rsxABCDGE-nth 
b1631,1710204,1710824,+,rsxG,620,rsxABCDGE-nth 
b1632,1710828,1711523,+,rsxE,695,rsxABCDGE-nth 
b1633,1711523,1712158,+,nth,635,rsxABCDGE-nth 
b1634,1712769,1714271,+,dtpA,1502,tppB
b1635,1714377,1714982,+,gstA,605,gstA
b1636,1715026,1715889,-,pdxY,863,tyrS-pdxY 
b1637,1715948,1717222,-,tyrS,1274,tyrS-pdxY 
b1638,1717351,1718007,-,pdxH,656,pdxH-tyrS-pdxY
b1639,1718066,1718395,-,mliC,329,mliC
b1640,1718493,1719602,-,anmK,1109,anmK
b1641,1719876,1720343,+,slyB,467,slyB 
b1642,1720390,1720824,-,slyA,434,slyA
b1643,1721025,1721261,+,ydhI,236,ydhIJK
b1644,1721264,1722121,+,ydhJ,857,ydhIJK
b1645,1722121,1724133,+,ydhK,2012,ydhIJK
b1646,1724134,1724655,-,sodC,521,sodC
b1647,1724736,1725632,-,ydhF,896,ydhF
b1648,1725681,1725920,-,ydhL,239,ydhL
b1649,1726023,1726622,+,nemR,599,nemRA-gloA 
b1650,1726659,1727756,+,nemA,1097,nemRA-gloA 
b1651,1727837,1728244,+,gloA,407,nemRA-gloA 
b1652,1728347,1728994,+,rnt,647,rnt-lhr
b1653,1729087,1733703,+,lhr,4616,lhr 
b1654,1733754,1734101,-,grxD,347,grxD
b1655,1734435,1735250,+,mepH,815,mepH
b1656,1735378,1735959,+,sodB,581,sodB
b1657,1736121,1737290,-,ydhP,1169,ydhP
b1658,1737844,1738869,+,purR,1025,purR
b1659,1738866,1739798,-,ydhB,932,ydhB
b1660,1739911,1741122,+,ydhC,1211,ydhC
b1661,1741413,1742561,+,cfa,1148,cfa 
b1662,1742601,1743242,-,ribC,641,ribC
b1663,1743457,1744830,+,mdtK,1373,mdtK
b1664,1744871,1746127,-,ydhQ,1256,ydhQ
b1665,1746435,1746511,+,valV,76,valVW
