regulator,gene_id,gene_name,effect,source
fliA,STM1743,STM1743,+,RegulonDB
fliA,STM1742,STM1742,+,RegulonDB
fliA,STM1626,STM1626,+,RegulonDB
fliA,STM1300,STM1300,+,RegulonDB
fliA,STM1915,STM1915,+,RegulonDB
fliA,STM1916,STM1916,+,RegulonDB
fliA,STM1917,STM1917,+,RegulonDB
fliA,STM1918,STM1918,+,RegulonDB
fliA,STM1919,STM1919,+,RegulonDB
fliA,STM1920,STM1920,+,RegulonDB
fliA,STM1921,STM1921,+,RegulonDB
fliA,STM1922,STM1922,+,RegulonDB
fliA,STM1923,STM1923,+,RegulonDB
fliA,STM1949,STM1949,+,RegulonDB
fliA,STM1954,STM1954,+,RegulonDB
fliA,STM1955,STM1955,+,RegulonDB
fliA,STM1956,STM1956,+,RegulonDB
fliA,STM2771,STM2771,+,RegulonDB
fliA,STM1960,STM1960,+,RegulonDB
fliA,STM1961,STM1961,+,RegulonDB
fliA,STM1962,STM1962,+,RegulonDB
fliA,STM1968,STM1968,+,RegulonDB
fliA,STM1969,STM1969,+,RegulonDB
fliA,STM1970,STM1970,+,RegulonDB
fliA,STM1971,STM1971,+,RegulonDB
fliA,STM1972,STM1972,+,RegulonDB
fliA,STM1973,STM1973,+,RegulonDB
fliA,STM1974,STM1974,+,RegulonDB
fliA,STM1975,STM1975,+,RegulonDB
fliA,STM1976,STM1976,+,RegulonDB
fliA,STM1977,STM1977,+,RegulonDB
fliA,STM1978,STM1978,+,RegulonDB
fliA,STM1979,STM1979,+,RegulonDB
fliA,STM1980,STM1980,+,RegulonDB
fliA,STM1981,STM1981,+,RegulonDB
fliA,STM2917,STM2917,+,RegulonDB
fliA,STM2996,STM2996,+,RegulonDB
fliA,STM2997,STM2997,+,RegulonDB
fliA,STM2998,STM2998,+,RegulonDB
fliA,STM2999,STM2999,+,RegulonDB
fliA,STM3000,STM3000,+,RegulonDB
fliA,STM3217,STM3217,+,RegulonDB
fliA,STM3611,STM3611,+,RegulonDB
fliA,STM4533,STM4533,+,RegulonDB
fliZ,STM1139,STM1139,-,RegulonDB
fliZ,STM1140,STM1140,-,RegulonDB
fliZ,STM1141,STM1141,-,RegulonDB
fliZ,STM1142,STM1142,-,RegulonDB
fliZ,STM1143,STM1143,-,RegulonDB
fliZ,STM1144,STM1144,-,RegulonDB
fliZ,STM1145,STM1145,-,RegulonDB
fliZ,STM1703,STM1703,-,RegulonDB
fliZ,STM1924,STM1924,-,RegulonDB
fliZ,STM1925,STM1925,-,RegulonDB
fliZ,STM2160,STM2160,-,RegulonDB
fliZ,STM1562,STM1562,-,RegulonDB
fliZ,STM4561,STM4561,-,RegulonDB
fnr,STM0002,STM0002,+,RegulonDB
fnr,STM0003,STM0003,+,RegulonDB
fnr,STM0004,STM0004,+,RegulonDB
fnr,STM0068,STM0068,+,RegulonDB
fnr,STM0069,STM0069,+,RegulonDB
fnr,STM0070,STM0070,+,RegulonDB
fnr,STM0071,STM0071,+,RegulonDB
fnr,STM0072,STM0072,+,RegulonDB
fnr,STM0073,STM0073,+,RegulonDB
fnr,STM0074,STM0074,+,RegulonDB
fnr,STM0075,STM0075,+,RegulonDB
fnr,STM0076,STM0076,+,RegulonDB
fnr,STM0077,STM0077,+,RegulonDB
fnr,STM0078,STM0078,+,RegulonDB
fnr,STM0150,STM0150,+,RegulonDB
fnr,STM0151,STM0151,+-,RegulonDB
fnr,STM0152,STM0152,+-,RegulonDB
fnr,STM0153,STM0153,+-,RegulonDB
fnr,STM0154,STM0154,+-,RegulonDB
fnr,STM0214,STM0214,+-,RegulonDB
fnr,STM0245,STM0245,+,RegulonDB
fnr,STM0246,STM0246,+,RegulonDB
fnr,STM0247,STM0247,+,RegulonDB
fnr,STM0248,STM0248,+-,RegulonDB
fnr,STM0380,STM0380,-,RegulonDB
fnr,STM0383,STM0383,-,RegulonDB
fnr,STM0439,STM0439,-,RegulonDB
fnr,STM0440,STM0440,-,RegulonDB
fnr,STM0441,STM0441,-,RegulonDB
fnr,STM0442,STM0442,-,RegulonDB
fnr,STM0443,STM0443,-,RegulonDB
fnr,STM0462,STM0462,+-,RegulonDB
fnr,STM0463,STM0463,+-,RegulonDB
fnr,STM0586,STM0586,+,RegulonDB
fnr,STM0588,STM0588,+,RegulonDB
fnr,STM0589,STM0589,+,RegulonDB
fnr,STM0605,STM0605,+,RegulonDB
fnr,STM0619,STM0619,-,RegulonDB
fnr,STM0620,STM0620,-,RegulonDB
fnr,STM0621,STM0621,-,RegulonDB
fnr,STM0622,STM0622,-,RegulonDB
fnr,STM0623,STM0623,-,RegulonDB
fnr,STM0624,STM0624,-,RegulonDB
fnr,STM0625,STM0625,-,RegulonDB
fnr,STM0626,STM0626,-,RegulonDB
fnr,STM0627,STM0627,+,RegulonDB
fnr,STM0732,STM0732,-,RegulonDB
fnr,STM0733,STM0733,-,RegulonDB
fnr,STM0734,STM0734,-,RegulonDB
fnr,STM0735,STM0735,-,RegulonDB
fnr,STM0736,STM0736,-,RegulonDB
fnr,STM0737,STM0737,-,RegulonDB
fnr,STM0738,STM0738,-,RegulonDB
fnr,STM0739,STM0739,-,RegulonDB
fnr,STM0740,STM0740,+-,RegulonDB
fnr,STM0741,STM0741,+-,RegulonDB
fnr,STM0801,STM0801,+-,RegulonDB
fnr,STM0802,STM0802,+,RegulonDB
fnr,STM0803,STM0803,+,RegulonDB
fnr,STM0804,STM0804,+,RegulonDB
fnr,STM0805,STM0805,+,RegulonDB
fnr,STM0806,STM0806,+,RegulonDB
fnr,STM0833,STM0833,-,RegulonDB
fnr,STM0838,STM0838,+-,RegulonDB
fnr,STM0843,STM0843,+-,RegulonDB
fnr,STM0844,STM0844,+-,RegulonDB
fnr,STM0845,STM0845,-,RegulonDB
fnr,STM0846,STM0846,-,RegulonDB
fnr,STM0852,STM0852,+-,RegulonDB
fnr,STM0853,STM0853,+,RegulonDB
fnr,STM0935,STM0935,+,RegulonDB
fnr,STM0936,STM0936,+,RegulonDB
fnr,STM0937,STM0937,+,RegulonDB
fnr,STM0939,STM0939,+-,RegulonDB
fnr,STM0956,STM0956,+-,RegulonDB
fnr,STM0957,STM0957,+-,RegulonDB
fnr,STM0964,STM0964,+,RegulonDB
fnr,STM0965,STM0965,+,RegulonDB
fnr,STM0966,STM0966,+,RegulonDB
fnr,STM0973,STM0973,+-,RegulonDB
fnr,STM0974,STM0974,+-,RegulonDB
fnr,STM0998,STM0998,+-,RegulonDB
fnr,STM1058,STM1058,+,RegulonDB
fnr,STM1203,STM1203,+,RegulonDB
fnr,STM1211,STM1211,-,RegulonDB
fnr,STM1222,STM1222,+,RegulonDB
fnr,STM1223,STM1223,+,RegulonDB
fnr,STM1225,STM1225,+,RegulonDB
fnr,STM1226,STM1226,+,RegulonDB
fnr,STM1227,STM1227,+,RegulonDB
fnr,STM1110,STM1110,+,RegulonDB
fnr,STM1777,STM1777,-,RegulonDB
fnr,STM1776,STM1776,-,RegulonDB
fnr,STM1775,STM1775,-,RegulonDB
fnr,STM1768,STM1768,-,RegulonDB
fnr,STM1767,STM1767,+-,RegulonDB
fnr,STM1766,STM1766,+-,RegulonDB
fnr,STM1765,STM1765,+-,RegulonDB
fnr,STM1764,STM1764,+,RegulonDB
fnr,STM1763,STM1763,+,RegulonDB
fnr,STM1762,STM1762,+,RegulonDB
fnr,STM1761,STM1761,+,RegulonDB
fnr,STM1749,STM1749,+-,RegulonDB
fnr,STM1748,STM1748,+-,RegulonDB
fnr,STM1735,STM1735,+-,RegulonDB
fnr,STM1734,STM1734,+-,RegulonDB
fnr,STM1732,STM1732,+-,RegulonDB
fnr,STM1712,STM1712,-,RegulonDB
fnr,STM1682,STM1682,-,RegulonDB
fnr,STM1660,STM1660,+-,RegulonDB
fnr,STM1655,STM1655,+-,RegulonDB
fnr,STM1652,STM1652,+,RegulonDB
fnr,STM1592,STM1592,+-,RegulonDB
fnr,STM1571,STM1571,+-,RegulonDB
fnr,STM1570,STM1570,+-,RegulonDB
fnr,STM1569,STM1569,+-,RegulonDB
fnr,STM1568,STM1568,+-,RegulonDB
fnr,STM1514,STM1514,+,RegulonDB
fnr,STM1509,STM1509,+,RegulonDB
fnr,STM1499,STM1499,+,RegulonDB
fnr,STM1498,STM1498,+,RegulonDB
fnr,STM1496,STM1496,+,RegulonDB
fnr,STM1495,STM1495,+,RegulonDB
fnr,STM1489,STM1489,+,RegulonDB
fnr,STM1469,STM1469,-,RegulonDB
fnr,STM1468,STM1468,-,RegulonDB
fnr,STM1446,STM1446,+-,RegulonDB
fnr,STM1445,STM1445,+-,RegulonDB
fnr,STM1444,STM1444,+-,RegulonDB
fnr,STM1443,STM1443,+-,RegulonDB
fnr,STM1442,STM1442,+-,RegulonDB
fnr,STM1441,STM1441,+-,RegulonDB
fnr,STM2063,STM2063,+,RegulonDB
fnr,STM2064,STM2064,+,RegulonDB
fnr,STM1336,STM1336,-,RegulonDB
fnr,STM1299,STM1299,+,RegulonDB
fnr,STM1291,STM1291,+-,RegulonDB
fnr,STM1290,STM1290,+,RegulonDB
fnr,STM1289,STM1289,+,RegulonDB
fnr,STM1886,STM1886,-,RegulonDB
fnr,STM1888,STM1888,+,RegulonDB
fnr,STM1915,STM1915,+,RegulonDB
fnr,STM1916,STM1916,+,RegulonDB
fnr,STM1917,STM1917,+,RegulonDB
fnr,STM1918,STM1918,+,RegulonDB
fnr,STM1919,STM1919,+,RegulonDB
fnr,STM1934,STM1934,+,RegulonDB
fnr,STM1936,STM1936,+,RegulonDB
fnr,STM1937,STM1937,+-,RegulonDB
fnr,STM1965,STM1965,-,RegulonDB
fnr,STM1966,STM1966,-,RegulonDB
fnr,STM0692,STM0692,-,RegulonDB
fnr,STM2081,STM2081,-,RegulonDB
fnr,STM3812,STM3812,+,RegulonDB
fnr,STM3813,STM3813,+,RegulonDB
fnr,STM3814,STM3814,+,RegulonDB
fnr,STM3815,STM3815,+,RegulonDB
fnr,STM3817,STM3817,+,RegulonDB
fnr,STM3818,STM3818,+,RegulonDB
fnr,STM3819,STM3819,+,RegulonDB
fnr,STM2255,STM2255,+,RegulonDB
fnr,STM2256,STM2256,+,RegulonDB
fnr,STM2257,STM2257,+,RegulonDB
fnr,STM2258,STM2258,+,RegulonDB
fnr,STM2259,STM2259,+,RegulonDB
fnr,STM2260,STM2260,+,RegulonDB
fnr,STM2261,STM2261,+,RegulonDB
fnr,STM2277,STM2277,-,RegulonDB
fnr,STM2278,STM2278,-,RegulonDB
fnr,STM2279,STM2279,-,RegulonDB
fnr,STM2282,STM2282,+,RegulonDB
fnr,STM2283,STM2283,+,RegulonDB
fnr,STM2284,STM2284,+,RegulonDB
fnr,STM2285,STM2285,+,RegulonDB
fnr,STM2286,STM2286,+,RegulonDB
fnr,STM2297,STM2297,-,RegulonDB
fnr,STM2298,STM2298,-,RegulonDB
fnr,STM2299,STM2299,-,RegulonDB
fnr,STM2300,STM2300,-,RegulonDB
fnr,STM2301,STM2301,-,RegulonDB
fnr,STM2303,STM2303,-,RegulonDB
fnr,STM2316,STM2316,+-,RegulonDB
fnr,STM2317,STM2317,+-,RegulonDB
fnr,STM2318,STM2318,+-,RegulonDB
fnr,STM2319,STM2319,+-,RegulonDB
fnr,STM2320,STM2320,+-,RegulonDB
fnr,STM2321,STM2321,+-,RegulonDB
fnr,STM2322,STM2322,+-,RegulonDB
fnr,STM2323,STM2323,+-,RegulonDB
fnr,STM2324,STM2324,+-,RegulonDB
fnr,STM2325,STM2325,+-,RegulonDB
fnr,STM2326,STM2326,+-,RegulonDB
fnr,STM2327,STM2327,+-,RegulonDB
fnr,STM2328,STM2328,+-,RegulonDB
fnr,STM2336,STM2336,+-,RegulonDB
fnr,STM2337,STM2337,+,RegulonDB
fnr,STM2338,STM2338,+,RegulonDB
fnr,STM2339,STM2339,+-,RegulonDB
fnr,STM2390,STM2390,+,RegulonDB
fnr,STM2391,STM2391,+-,RegulonDB
fnr,STM2497,STM2497,+,RegulonDB
fnr,STM2498,STM2498,+,RegulonDB
fnr,STM2499,STM2499,+-,RegulonDB
fnr,STM2500,STM2500,+-,RegulonDB
fnr,STM2503,STM2503,+,RegulonDB
fnr,STM2510,STM2510,+,RegulonDB
fnr,STM2511,STM2511,+,RegulonDB
fnr,STM2512,STM2512,+-,RegulonDB
fnr,STM2556,STM2556,-,RegulonDB
fnr,STM2646,STM2646,+-,RegulonDB
fnr,STM2647,STM2647,+-,RegulonDB
fnr,STM2673,STM2673,-,RegulonDB
fnr,STM2674,STM2674,-,RegulonDB
fnr,STM2675,STM2675,-,RegulonDB
fnr,STM2676,STM2676,-,RegulonDB
fnr,STM2840,STM2840,-,RegulonDB
fnr,STM2841,STM2841,-,RegulonDB
fnr,STM2855,STM2855,+,RegulonDB
fnr,STM2856,STM2856,+,RegulonDB
fnr,STM2857,STM2857,+,RegulonDB
fnr,STM2858,STM2858,+,RegulonDB
fnr,STM2859,STM2859,+,RegulonDB
fnr,STM2860,STM2860,-,RegulonDB
fnr,STM2952,STM2952,-,RegulonDB
fnr,STM2953,STM2953,-,RegulonDB
fnr,STM2963,STM2963,-,RegulonDB
fnr,STM2964,STM2964,-,RegulonDB
fnr,STM2965,STM2965,-,RegulonDB
fnr,STM2988,STM2988,+-,RegulonDB
fnr,STM3053,STM3053,+,RegulonDB
fnr,STM3054,STM3054,+,RegulonDB
fnr,STM3055,STM3055,+,RegulonDB
fnr,STM3078,STM3078,+-,RegulonDB
fnr,STM3086,STM3086,+-,RegulonDB
fnr,STM3087,STM3087,+-,RegulonDB
fnr,STM3090,STM3090,+,RegulonDB
fnr,STM3106,STM3106,+,RegulonDB
fnr,STM3143,STM3143,+,RegulonDB
fnr,STM3144,STM3144,+,RegulonDB
fnr,STM3145,STM3145,+,RegulonDB
fnr,STM3146,STM3146,+,RegulonDB
fnr,STM3147,STM3147,+,RegulonDB
fnr,STM3148,STM3148,+,RegulonDB
fnr,STM3149,STM3149,+,RegulonDB
fnr,STM3150,STM3150,+,RegulonDB
fnr,STM3151,STM3151,+,RegulonDB
fnr,STM3153,STM3153,+-,RegulonDB
fnr,STM3157,STM3157,-,RegulonDB
fnr,STM3162,STM3162,+-,RegulonDB
fnr,STM3215,STM3215,+,RegulonDB
fnr,STM3217,STM3217,+,RegulonDB
fnr,STM3137,STM3137,+-,RegulonDB
fnr,STM3134,STM3134,+-,RegulonDB
fnr,STM3241,STM3241,+,RegulonDB
fnr,STM3242,STM3242,+,RegulonDB
fnr,STM3243,STM3243,+,RegulonDB
fnr,STM3244,STM3244,+,RegulonDB
fnr,STM3245,STM3245,+,RegulonDB
fnr,STM3247,STM3247,+-,RegulonDB
fnr,STM3248,STM3248,+-,RegulonDB
fnr,STM3249,STM3249,+-,RegulonDB
fnr,STM3250,STM3250,+-,RegulonDB
fnr,STM3272,STM3272,+,RegulonDB
fnr,STM3273,STM3273,+,RegulonDB
fnr,STM3274,STM3274,+,RegulonDB
fnr,STM3275,STM3275,+,RegulonDB
fnr,STM3282,STM3282,+,RegulonDB
fnr,STM3283,STM3283,+,RegulonDB
fnr,STM3284,STM3284,+,RegulonDB
fnr,STM3285,STM3285,+,RegulonDB
fnr,STM3286,STM3286,+,RegulonDB
fnr,STM3287,STM3287,+,RegulonDB
fnr,STM3288,STM3288,+,RegulonDB
fnr,STM3290,STM3290,+-,RegulonDB
fnr,STM3293,STM3293,+,RegulonDB
fnr,STM3303,STM3303,+-,RegulonDB
fnr,STM3304,STM3304,+-,RegulonDB
fnr,STM3305,STM3305,+-,RegulonDB
fnr,STM3329,STM3329,+-,RegulonDB
fnr,STM3330,STM3330,+-,RegulonDB
fnr,STM3331,STM3331,+-,RegulonDB
fnr,STM4575,STM4575,+-,RegulonDB
fnr,STM3344,STM3344,-,RegulonDB
fnr,STM3345,STM3345,-,RegulonDB
fnr,STM3390,STM3390,+,RegulonDB
fnr,STM3391,STM3391,+,RegulonDB
fnr,STM3431,STM3431,+,RegulonDB
fnr,STM3432,STM3432,+,RegulonDB
fnr,STM3433,STM3433,+,RegulonDB
fnr,STM3434,STM3434,+,RegulonDB
fnr,STM3435,STM3435,+,RegulonDB
fnr,STM3436,STM3436,+,RegulonDB
fnr,STM3437,STM3437,+,RegulonDB
fnr,STM3438,STM3438,+,RegulonDB
fnr,STM3439,STM3439,+,RegulonDB
fnr,STM3440,STM3440,+,RegulonDB
fnr,STM3441,STM3441,+,RegulonDB
fnr,STM3474,STM3474,+,RegulonDB
fnr,STM3475,STM3475,+,RegulonDB
fnr,STM3476,STM3476,+,RegulonDB
fnr,STM3477,STM3477,+,RegulonDB
fnr,STM3505,STM3505,+,RegulonDB
fnr,STM3506,STM3506,+,RegulonDB
fnr,STM3507,STM3507,+,RegulonDB
fnr,STM3513,STM3513,+,RegulonDB
fnr,STM3514,STM3514,+,RegulonDB
fnr,STM3539,STM3539,+-,RegulonDB
fnr,STM3584,STM3584,+,RegulonDB
fnr,STM3588,STM3588,+-,RegulonDB
fnr,STM3589,STM3589,+,RegulonDB
fnr,STM3590,STM3590,-,RegulonDB
fnr,STM3591,STM3591,+-,RegulonDB
fnr,STM3820,STM3820,+,RegulonDB
fnr,STM3617,STM3617,+,RegulonDB
fnr,STM3618,STM3618,+,RegulonDB
fnr,STM3626,STM3626,-,RegulonDB
fnr,STM3627,STM3627,-,RegulonDB
fnr,STM3628,STM3628,-,RegulonDB
fnr,STM3629,STM3629,-,RegulonDB
fnr,STM3630,STM3630,-,RegulonDB
fnr,STM3703,STM3703,+,RegulonDB
fnr,STM3704,STM3704,+,RegulonDB
fnr,STM3705,STM3705,+,RegulonDB
fnr,STM3706,STM3706,+,RegulonDB
fnr,STM3836,STM3836,+,RegulonDB
fnr,STM3837,STM3837,+,RegulonDB
fnr,STM3838,STM3838,+,RegulonDB
fnr,STM3839,STM3839,+,RegulonDB
fnr,STM3840,STM3840,+,RegulonDB
fnr,STM3853,STM3853,+,RegulonDB
fnr,STM3854,STM3854,+,RegulonDB
fnr,STM3855,STM3855,+,RegulonDB
fnr,STM3856,STM3856,+,RegulonDB
fnr,STM3857,STM3857,+,RegulonDB
fnr,STM3878,STM3878,+,RegulonDB
fnr,STM3879,STM3879,+,RegulonDB
fnr,STM3880,STM3880,+-,RegulonDB
fnr,STM3967,STM3967,-,RegulonDB
fnr,STM4055,STM4055,-,RegulonDB
fnr,STM4106,STM4106,+,RegulonDB
fnr,STM4233,STM4233,-,RegulonDB
fnr,STM4234,STM4234,-,RegulonDB
fnr,STM4265,STM4265,-,RegulonDB
fnr,STM4266,STM4266,-,RegulonDB
fnr,STM4273,STM4273,+-,RegulonDB
fnr,STM4274,STM4274,+-,RegulonDB
fnr,STM4275,STM4275,+-,RegulonDB
fnr,STM4277,STM4277,+,RegulonDB
fnr,STM4278,STM4278,+,RegulonDB
fnr,STM4279,STM4279,+,RegulonDB
fnr,STM4280,STM4280,+,RegulonDB
fnr,STM4282,STM4282,+,RegulonDB
fnr,STM4285,STM4285,+,RegulonDB
fnr,STM4300,STM4300,+,RegulonDB
fnr,STM4301,STM4301,+,RegulonDB
fnr,STM4303,STM4303,+,RegulonDB
fnr,STM4304,STM4304,+,RegulonDB
fnr,STM2557,STM2557,+,RegulonDB
fnr,STM4325,STM4325,+,RegulonDB
fnr,STM4326,STM4326,+,RegulonDB
fnr,STM4328,STM4328,+-,RegulonDB
fnr,STM4329,STM4329,-,RegulonDB
fnr,STM4330,STM4330,-,RegulonDB
fnr,STM4340,STM4340,+,RegulonDB
fnr,STM4341,STM4341,+,RegulonDB
fnr,STM4342,STM4342,+,RegulonDB
fnr,STM4343,STM4343,+,RegulonDB
fnr,STM4365,STM4365,+,RegulonDB
fnr,STM4366,STM4366,+,RegulonDB
fnr,STM4399,STM4399,-,RegulonDB
fnr,STM4451,STM4451,+,RegulonDB
fnr,STM4452,STM4452,+,RegulonDB
fnr,STM4524,STM4524,+,RegulonDB
fnr,STM4525,STM4525,+,RegulonDB
fnr,STM4526,STM4526,+,RegulonDB
fnr,STM4527,STM4527,+-,RegulonDB
fnr,STM4550,STM4550,-,RegulonDB
fnr,STM4598,STM4598,+-,RegulonDB
fnr,STM4599,STM4599,+-,RegulonDB
fnr,STM3240,STM3240,+,RegulonDB
fnr,STM0587,STM0587,+,RegulonDB
fnr,STM2302,STM2302,-,RegulonDB
fnr,STM4552,STM4552,+-,RegulonDB
fucR,STM2973,STM2973,+,RegulonDB
fucR,STM2974,STM2974,+,RegulonDB
fucR,STM3792,STM3792,+,RegulonDB
fucR,STM2976,STM2976,+,RegulonDB
fucR,STM2977,STM2977,+,RegulonDB
fucR,STM2978,STM2978,+,RegulonDB
fucR,STM2979,STM2979,+,RegulonDB
Fur,STM0154,STM0154,+-,RegulonDB
Fur,STM0191,STM0191,-,RegulonDB
Fur,STM0192,STM0192,-,RegulonDB
Fur,STM0193,STM0193,-,RegulonDB
Fur,STM0194,STM0194,-,RegulonDB
Fur,STM0214,STM0214,-,RegulonDB
Fur,STM0215,STM0215,+-,RegulonDB
Fur,STM0316,STM0316,+-,RegulonDB
Fur,STM0439,STM0439,-,RegulonDB
Fur,STM0440,STM0440,-,RegulonDB
Fur,STM0441,STM0441,-,RegulonDB
Fur,STM0442,STM0442,-,RegulonDB
Fur,STM0443,STM0443,-,RegulonDB
Fur,STM0462,STM0462,+-,RegulonDB
Fur,STM0463,STM0463,+-,RegulonDB
Fur,STM0482,STM0482,-,RegulonDB
Fur,STM0488,STM0488,+,RegulonDB
Fur,STM0585,STM0585,-,RegulonDB
Fur,STM0586,STM0586,-,RegulonDB
Fur,STM0588,STM0588,-,RegulonDB
Fur,STM0589,STM0589,-,RegulonDB
Fur,STM0590,STM0590,-,RegulonDB
Fur,STM0591,STM0591,-,RegulonDB
Fur,STM0592,STM0592,-,RegulonDB
Fur,STM0593,STM0593,+-,RegulonDB
Fur,STM0594,STM0594,-,RegulonDB
Fur,STM0595,STM0595,-,RegulonDB
Fur,STM0596,STM0596,-,RegulonDB
Fur,STM0597,STM0597,-,RegulonDB
Fur,STM0598,STM0598,-,RegulonDB
Fur,STM0599,STM0599,-,RegulonDB
Fur,STM0681,STM0681,+-,RegulonDB
Fur,STM0682,STM0682,+-,RegulonDB
Fur,STM0683,STM0683,+-,RegulonDB
Fur,STM0684,STM0684,+-,RegulonDB
Fur,STM0693,STM0693,-,RegulonDB
Fur,STM0732,STM0732,+,RegulonDB
Fur,STM0733,STM0733,+,RegulonDB
Fur,STM0734,STM0734,+,RegulonDB
Fur,STM0735,STM0735,+,RegulonDB
Fur,STM0736,STM0736,+,RegulonDB
Fur,STM0737,STM0737,+,RegulonDB
Fur,STM0738,STM0738,+,RegulonDB
Fur,STM0739,STM0739,+,RegulonDB
Fur,STM0772,STM0772,-,RegulonDB
Fur,STM0998,STM0998,+-,RegulonDB
Fur,STM1163,STM1163,-,RegulonDB
Fur,STM1204,STM1204,-,RegulonDB
Fur,STM1211,STM1211,-,RegulonDB
Fur,STM1746,STM1746,-,RegulonDB
Fur,STM1745,STM1745,-,RegulonDB
Fur,STM1744,STM1744,-,RegulonDB
Fur,STM1743,STM1743,-,RegulonDB
Fur,STM1742,STM1742,-,RegulonDB
Fur,STM1737,STM1737,+-,RegulonDB
Fur,STM1720,STM1720,+,RegulonDB
Fur,STM1712,STM1712,+,RegulonDB
Fur,STM1703,STM1703,+-,RegulonDB
Fur,STM1660,STM1660,-,RegulonDB
Fur,STM1586,STM1586,-,RegulonDB
Fur,STM1567,STM1567,-,RegulonDB
Fur,STM2609,STM2609,-,RegulonDB
Fur,STM1500,STM1500,-,RegulonDB
Fur,STM1469,STM1469,-,RegulonDB
Fur,STM1430,STM1430,-,RegulonDB
Fur,STM1374,STM1374,-,RegulonDB
Fur,STM1373,STM1373,-,RegulonDB
Fur,STM1372,STM1372,-,RegulonDB
Fur,STM1371,STM1371,-,RegulonDB
Fur,STM1370,STM1370,-,RegulonDB
Fur,STM1369,STM1369,-,RegulonDB
Fur,STM1346,STM1346,-,RegulonDB
Fur,STM1318,STM1318,+,RegulonDB
Fur,STM1299,STM1299,+-,RegulonDB
Fur,STM1834,STM1834,+-,RegulonDB
Fur,STM1886,STM1886,-,RegulonDB
Fur,STM1924,STM1924,-,RegulonDB
Fur,STM1925,STM1925,-,RegulonDB
Fur,STM1932,STM1932,+,RegulonDB
Fur,STM1935,STM1935,+,RegulonDB
Fur,STM1950,STM1950,+-,RegulonDB
Fur,STM1263,STM1263,+,RegulonDB
Fur,STM0692,STM0692,-,RegulonDB
Fur,STM2081,STM2081,-,RegulonDB
Fur,STM3024,STM3024,-,RegulonDB
Fur,STM2148,STM2148,-,RegulonDB
Fur,STM2199,STM2199,-,RegulonDB
Fur,STM2263,STM2263,-,RegulonDB
Fur,STM0195,STM0195,+-,RegulonDB
Fur,STM2408,STM2408,-,RegulonDB
Fur,STM2556,STM2556,-,RegulonDB
Fur,STM2646,STM2646,-,RegulonDB
Fur,STM2684,STM2684,+-,RegulonDB
Fur,STM2801,STM2801,-,RegulonDB
Fur,STM2805,STM2805,-,RegulonDB
Fur,STM2806,STM2806,-,RegulonDB
Fur,STM2807,STM2807,-,RegulonDB
Fur,STM2808,STM2808,-,RegulonDB
Fur,STM2924,STM2924,-,RegulonDB
Fur,STM3143,STM3143,+,RegulonDB
Fur,STM3144,STM3144,+,RegulonDB
Fur,STM3145,STM3145,+,RegulonDB
Fur,STM3146,STM3146,+,RegulonDB
Fur,STM3147,STM3147,+,RegulonDB
Fur,STM3148,STM3148,+,RegulonDB
Fur,STM3149,STM3149,+,RegulonDB
Fur,STM3150,STM3150,+,RegulonDB
Fur,STM3158,STM3158,-,RegulonDB
Fur,STM3159,STM3159,-,RegulonDB
Fur,STM3214,STM3214,-,RegulonDB
Fur,STM3235,STM3235,+-,RegulonDB
Fur,STM3247,STM3247,-,RegulonDB
Fur,STM3248,STM3248,-,RegulonDB
Fur,STM3249,STM3249,-,RegulonDB
Fur,STM3325,STM3325,+-,RegulonDB
Fur,STM3330,STM3330,-,RegulonDB
Fur,STM3331,STM3331,-,RegulonDB
Fur,STM4575,STM4575,-,RegulonDB
Fur,STM3502,STM3502,+-,RegulonDB
Fur,STM3505,STM3505,-,RegulonDB
Fur,STM3506,STM3506,-,RegulonDB
Fur,STM3507,STM3507,-,RegulonDB
Fur,STM3546,STM3546,-,RegulonDB
Fur,STM3565,STM3565,+-,RegulonDB
Fur,STM3798,STM3798,+-,RegulonDB
Fur,STM3969,STM3969,+-,RegulonDB
Fur,STM4034,STM4034,+-,RegulonDB
Fur,STM4055,STM4055,+-,RegulonDB
Fur,STM4064,STM4064,+-,RegulonDB
Fur,STM4088,STM4088,+,RegulonDB
Fur,STM4099,STM4099,-,RegulonDB
Fur,STM4106,STM4106,+,RegulonDB
Fur,STM4188,STM4188,-,RegulonDB
Fur,STM4240,STM4240,+-,RegulonDB
Fur,STM4265,STM4265,-,RegulonDB
Fur,STM4266,STM4266,-,RegulonDB
Fur,STM4300,STM4300,+,RegulonDB
Fur,STM3135,STM3135,+,RegulonDB
Fur,STM3136,STM3136,+,RegulonDB
Fur,STM4550,STM4550,-,RegulonDB
Fur,STM0587,STM0587,-,RegulonDB
Fur,STM4552,STM4552,-,RegulonDB
gadE,STM0225,STM0225,+,RegulonDB
gadE,STM0226,STM0226,+,RegulonDB
gadE,STM0227,STM0227,+,RegulonDB
gadE,STM0228,STM0228,+,RegulonDB
gadE,STM0383,STM0383,+-,RegulonDB
gadE,STM0439,STM0439,+,RegulonDB
gadE,STM0440,STM0440,+,RegulonDB
gadE,STM0441,STM0441,+,RegulonDB
gadE,STM0442,STM0442,+,RegulonDB
gadE,STM0443,STM0443,+,RegulonDB
gadE,STM0627,STM0627,+-,RegulonDB
gadE,STM0959,STM0959,+,RegulonDB
