,start,stop,strand,gene_name,length,,gene_product,evidence,PMID_list,confidence,all_bnumber,regulonDB_geneID
b0788,821542,822498,-,ybhN,956,,PF03706 family inner membrane protein YbhN,,"31438868,",,b0788,ECK120003005
b0789,822498,823739,-,clsB,1241,,cardiolipin synthase B,,,,b0789,ECK120003006
b0790,823736,824497,-,ybhP,761,,endonuclease/exonuclease/phosphatase domain-containing protein YbhP,,,,b0790,ECK120003007
b0791,824630,825040,+,ybhQ,410,,putative inner membrane protein,,,,b0791,ECK120003008
b0792,825002,826108,-,ybhR,1106,,ABC exporter membrane subunit YbhR,,"30578262,31438868,",,b0792,ECK120003009
b0793,826119,827252,-,ybhS,1133,,ABC exporter membrane subunit YbhS,,"31438868,",,b0793,ECK120003010
b0794,827245,828981,-,ybhF,1736,,ABC exporter ATP binding subunit YbhF,,"31438868,",,b0794,ECK120003011
b0795,828974,829972,-,ybhG,998,,HlyD_D23 family protein YbhG,,"31438868,",,b0795,ECK120003012
b0796,829972,830643,-,cecR,671,,DNA-binding transcriptional dual regulator CecR,"[IPI|W|Inferred from physical interaction],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern],[AUPEINH|W|Assay of unpurified protein expressed in its native host]","10734204,15556475,27112147,30137486,30578262,",Weak,b0796,ECK120002268
b0797,830872,832236,+,rhlE,1364,,ATP-dependent RNA helicase RhlE,,"22328678,27112147,",,b0797,ECK120001213
b0798,832468,832950,-,ybiA,482,,#NAME?,,,,b0798,ECK120001531
b0799,833070,835220,+,dinG,2150,,ATP-dependent DNA helicase DinG,,"11333217,1629168,",,b0799,ECK120001326
b0800,835248,836210,+,ybiB,962,,nonspecific DNA-binding protein YbiB,,,,b0800,ECK120001532
b0801,836351,837436,+,hcxB,1085,,hydroxycarboxylate dehydrogenase B,,,,b0801,ECK120001533
b4769,837503,837562,+,ybiE,59,,protein YbiE,,"30837344,",,b4769,ECK125286409
b0802,837665,837925,-,ybiJ,260,,DUF1471 domain-containing protein YbiJ,,"24391520,",,b0802,ECK120002280
b0803,838190,838456,-,ybiI,266,,zinc finger domain-containing protein YbiI,,,,b0803,ECK120002279
b0804,838530,839207,-,ybiX,677,,PKHD-type hydroxylase YbiX,,,,b0804,ECK120003013
b0805,839249,841531,-,fiu,2282,,iron catecholate outer membrane transporter Fiu,,"18318713,18502859,19214756,1960119,3323834,6353165,9210292,9450313,",,b0805,ECK120003014
b0806,841796,842056,-,mcbA,260,,DUF1471 domain-containing protein McbA,[IMP|W|Inferred from mutant phenotype],"18309357,",Weak,b0806,ECK120003015
b0807,842332,843258,+,rlmF,926,,23S rRNA mA1618 methyltransferase,,,,b0807,ECK120003016
b0808,843255,845480,-,ybiO,2225,,moderate conductance mechanosensitive channel YbiO,,,,b0808,ECK120003017
b0809,845741,846463,-,glnQ,722,,L-glutamine ABC transporter ATP binding subunit,,,,b0809,ECK120000382
b0810,846460,847119,-,glnP,659,,L-glutamine ABC transporter membrane subunit,,"31438868,",,b0810,ECK120000381
b0811,847258,848004,-,glnH,746,,L-glutamine ABC transporter periplasmic binding protein,,"12935905,1422149,17098801,19883597,20141110,22206385,9090131,",,b0811,ECK120000379
b0812,848408,848911,-,dps,503,,DNA protection during starvation protein,,"18452510,",,b0812,ECK120001381
b0813,849210,850097,-,rhtA,887,,L-threonine/L-homoserine exporter,,"11514505,12648727,17025177,18594129,21620993,26363557,28911185,31438868,",,b0813,ECK120002036
b4736,850332,850397,+,yliM,65,,protein YliM,,,,b4736,ECK125276532
b0814,850450,850965,+,ompX,515,,outer membrane protein X,,,,b0814,ECK120002021
b0815,851014,852597,-,opgE,1583,,phosphoethanolamine transferase,,,,b0815,ECK120003018
b0816,852671,852940,+,yliL,269,,,,,,b0816,ECK120003019
b4416,852725,853064,-,rybA,339,,small RNA RybA,[IMP|W|Inferred from mutant phenotype],"11445539,22336764,26076491,",Weak,b4416,ECK120002592
b4705,852869,852997,-,mntS,128,,small protein MntS,[IMP|W|Inferred from mutant phenotype],"25774656,26076491,29111488,",Weak,b4705,ECK125140755
b0817,853183,853650,+,mntR,467,,DNA-binding transcriptional dual regulator MntR,,,,b0817,ECK120003020
b0818,853647,854765,+,ybiR,1118,,putative transporter YbiR,,"15466053,31438868,",,b0818,ECK120003021
b0819,854824,855744,-,ldtB,920,,"L,D-transpeptidase LdtB",,"12192075,31743648,",,b0819,ECK120003022
b0820,855963,857555,+,ybiT,1592,,putative ATP-binding protein YbiT,,"11916677,15466053,28911185,",,b0820,ECK120003023
b0821,857796,859061,-,ybiU,1265,,DUF1479 domain-containing protein YbiU,,,,b0821,ECK120003024
b0822,859213,860028,-,ybiV,815,,sugar phosphatase YbiV,,,,b0822,ECK120003025
b0823,860174,862606,-,ybiW,2432,,putative pyruvate formate lyase,,"24391520,",,b0823,ECK120003026
b0824,862612,863511,-,ybiY,899,,putative pyruvate formate-lyase activating enzyme YbiY,,,,b0824,ECK120003027
b0825,863642,864304,+,fsaA,662,,fructose-6-phosphate aldolase 1,,,,b0825,ECK120003028
b0826,864380,865129,-,moeB,749,,molybdopterin-synthase adenylyltransferase,,,,b0826,ECK120000150
b0827,865129,866364,-,moeA,1235,,molybdopterin molybdotransferase,,,,b0827,ECK120000149
b0828,866568,867533,+,iaaA,965,,isoaspartyl dipeptidase proenzyme,,,,b0828,ECK120002269
b0829,867520,869391,+,gsiA,1871,,glutathione ABC transporter ATP binding subunit GsiA,,"22215971,31438868,",,b0829,ECK120003029
b0830,869411,870949,+,gsiB,1538,,glutathione ABC transporter periplasmic binding protein,,,,b0830,ECK120003030
b0831,870967,871887,+,gsiC,920,,glutathione ABC transporter membrane subunit GsiC,,,,b0831,ECK120003031
b0832,871890,872801,+,gsiD,911,,glutathione ABC transporter membrane subunit GsiD,,,,b0832,ECK120003032
b0833,872979,875327,+,pdeI,2348,,putative c-di-GMP phosphodiesterase PdeI,,"18239914,",,b0833,ECK120003033
b0834,875335,876663,+,dgcI,1328,,putative diguanylate cyclase DgcI,,"26303830,",,b0834,ECK120003034
b0835,876710,878035,-,rimO,1325,,ribosomal protein S12 methylthiotransferase RimO,,,,b0835,ECK120003035
b0836,878248,878631,+,bssR,383,,regulator of biofilm formation,"[IMP|W|Inferred from mutant phenotype],[IEP|W|Inferred from expression pattern]","11101804,16597943,",Weak,b0836,ECK120003036
b0837,878742,879857,+,yliI,1115,,aldose sugar dehydrogenase YliI,,,,b0837,ECK120003037
b0838,879854,880480,-,gstB,626,,glutathione -transferase GstB,,"14635120,",,b0838,ECK120003038
b0839,880727,881929,+,dacC,1202,,D-alanyl-D-alanine carboxypeptidase DacC,,,,b0839,ECK120000197
b0840,881976,882734,-,deoR,758,,DNA-binding transcriptional repressor DeoR,[IE|W|Inferred from experiment],"2653814,2994018,",Weak,b0840,ECK120000217
b0841,882792,883388,-,ybjG,596,,undecaprenyl pyrophosphate phosphatase,[IMP|W|Inferred from mutant phenotype],"15778224,23912810,26045332,",Weak,b0841,ECK120003039
b0842,883673,884905,+,mdfA,1232,,multidrug efflux pump MdfA / Na antiporter,,"10022825,10809693,17407265,26238402,27050393,28695852,29177828,29530612,29574104,31240248,31251753,",,b0842,ECK120003040
b0843,884946,885230,-,ybjH,284,,uncharacterized protein YbjH,,,,b0843,ECK120003041
b0844,885316,886131,-,ybjI,815,,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,[APPH|S|Assay of protein purified  to homogeneity],"15808744,",Strong,b0844,ECK120003042
b0845,886131,887339,-,ybjJ,1208,,inner membrane protein YbjJ,,"31438868,",,b0845,ECK120003043
b0846,887423,887959,+,rcdA,536,,DNA-binding transcriptional regulator RcdA,"[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity],[AIFS|W|Automated inference of function from sequence],[IEP|W|Inferred from expression pattern]","15556475,23233451,",Strong,b0846,ECK120003044
b4417,887979,888057,-,rybB,78,,small regulatory RNA RybB,"[IMP|W|Inferred from mutant phenotype],[IEP|W|Inferred from expression pattern]","11445539,17007876,17416652,21768388,22439016,25001303,25030700,25582129,26484242,26992034,30287822,",Weak,b4417,ECK120002591
b0847,888134,889819,-,ybjL,1685,,putative transport protein YbjL,,,,b0847,ECK120003045
b0848,890089,890466,+,ybjM,377,,putative inner membrane protein,,,,b0848,ECK120003046
b0849,890496,890753,-,grxA,257,,reduced glutaredoxin 1,[APPHINH|S|Assay of protein purified to homogeneity from its native host],"15833738,",Strong,b0849,ECK120000410
b0850,890913,891200,+,ybjC,287,,DUF1418 domain-containing protein YbjC,,,,b0850,ECK120002395
b0851,891184,891906,+,nfsA,722,,NADPH-dependent nitroreductase NfsA,,"20083491,22173483,",,b0851,ECK120001236
b0852,891967,892869,+,rimK,902,,ribosomal protein S6 modification protein,,,,b0852,ECK120000843
b0853,892957,893433,+,ybjN,476,,protein YbjN,,,,b0853,ECK120003047
b0854,893784,894896,+,potF,1112,,putrescine ABC transporter periplasmic binding protein,,,,b0854,ECK120001577
b0855,894991,896124,+,potG,1133,,putrescine ABC transporter ATP binding subunit,,,,b0855,ECK120001578
b0856,896134,897087,+,potH,953,,putrescine ABC transporter membrane subunit PotH,,,,b0856,ECK120001579
b0857,897084,897929,+,potI,845,,putrescine ABC transporter membrane subunit PotI,,,,b0857,ECK120001580
b0858,897989,898477,+,ybjO,488,,putative inner membrane protein,,,,b0858,ECK120003048
b0859,898518,899645,+,rlmC,1127,,23S rRNA mU747 methyltransferase,,,,b0859,ECK120003049
b0860,899844,900575,-,artJ,731,,L-arginine ABC transporter periplasmic binding protein,,,,b0860,ECK120001576
b0861,900866,901534,-,artM,668,,L-arginine ABC transporter membrane subunit ArtM,,,,b0861,ECK120001575
b0862,901534,902250,-,artQ,716,,L-arginine ABC transporter membrane subunit ArtQ,,"28911185,",,b0862,ECK120001574
b0863,902257,902988,-,artI,731,,putative ABC transporter periplasmic binding protein ArtI,,"11528004,",,b0863,ECK120001573
b0864,903006,903734,-,artP,728,,L-arginine ABC transporter ATP binding subunit,,,,b0864,ECK120001572
b0865,903952,904467,-,ybjP,515,,DUF3828 domain-containing lipoprotein YbjP,,,,b0865,ECK120003050
b0866,904593,904916,+,ybjQ,323,,putative heavy metal binding protein YbjQ,,,,b0866,ECK120003051
b0867,904913,905743,+,amiD,830,,#NAME?,,"19237650,20036252,",,b0867,ECK120003052
b0868,905740,906753,-,ybjS,1013,,putative epimerase YbjS,,,,b0868,ECK120003053
b0869,906852,908282,-,ybjT,1430,,putative NAD(P)-dependent oxidoreductase YbjT,,,,b0869,ECK120003054
b0870,908293,909294,-,ltaE,1001,,low-specificity L-threonine aldolase,,"24165453,25560296,",,b0870,ECK120003055
b0871,909331,911049,-,poxB,1718,,pyruvate oxidase,,"12835924,14982993,15529741,16179798,16187334,16310273,17224607,17689798,17979199,1832150,18679018,19125225,19452501,19563847,20012884,20440535,20707865,21718532,22843529,24212579,24375081,3524564,3928620,5336022,6209262,7695848,7785840,8596457,9655909,",,b0871,ECK120000745
b0872,911182,912150,-,hcr,968,,NADH oxidoreductase,,,,b0872,ECK120003056
b0873,912162,913814,-,hcp,1652,,protein -nitrosylase,[APPH|S|Assay of protein purified  to homogeneity],"10651802,16261196,20533909,29358078,",Strong,b0873,ECK120003057
b0874,913958,914857,-,lysO,899,,L-lysine exporter,,,,b0874,ECK120003058
b0875,915352,916047,-,aqpZ,695,,water channel AqpZ,,"10873451,11226336,11493683,12029329,14630323,14711520,16084383,16225876,16385074,16399837,20855585,22392432,29943128,31717877,31765130,9137831,9468603,",,b0875,ECK120002435
b0876,916473,918131,+,ybjD,1658,,DUF2813 domain-containing protein YbjD,,,,b0876,ECK120003059
b0877,918128,919120,-,ybjX,992,,DUF535 domain-containing protein YbjX,,,,b0877,ECK120003060
b0878,919235,920350,+,macA,1115,,ABC-type tripartite efflux pump membrane fusion protein,,"19805313,27105118,",,b0878,ECK120003061
b0879,920347,922293,+,macB,1946,,ABC-type tripartite efflux pump ATP binding/membrane subunit,,"11566977,27050393,27105118,29061301,31251753,",,b0879,ECK120003062
b0880,922366,922590,-,cspD,224,,DNA replication inhibitor CspD,,"11298285,30678142,32162674,",,b0880,ECK120001097
b4770,922740,922814,+,yljB,74,,protein YljB,,,,b4770,ECK125286421
b0881,922913,923233,+,clpS,320,,specificity factor for ClpA-ClpP chaperone-protease complex,[APPH|S|Assay of protein purified  to homogeneity],"11931773,",Strong,b0881,ECK120003063
b0882,923264,925540,+,clpA,2276,,ATP-dependent Clp protease ATP-binding subunit ClpA,,,,b0882,ECK120000152
b0883,925884,925971,-,serW,87,,tRNA-Ser(GGA),[TAS|W|Traceable author statement],"7033244,",Weak,b0883,ECK120002538
b0884,926225,926443,-,infA,218,,translation initiation factor IF-1,[IE|W|Inferred from experiment],"28968100,",Weak,b0884,ECK120000497
b0885,926728,927432,-,aat,704,,leucyl/phenylalanyl-tRNA&mdash;protein transferase,,,,b0885,ECK120001098
b0886,927474,929195,-,cydC,1721,,glutathione/L-cysteine ABC exporter subunit CydC,,"28911185,32900959,",,b0886,ECK120000010
b0887,929196,930962,-,cydD,1766,,glutathione/L-cysteine ABC exporter subunit CydD,,"31438868,32900959,",,b0887,ECK120001371
b0888,931085,932050,-,trxB,965,,thioredoxin reductase,,"2989245,",,b0888,ECK120001021
b0889,932595,933089,+,lrp,494,,DNA-binding transcriptional dual regulator Lrp,,"1346534,1729203,2040596,7665463,",,b0889,ECK120000540
b0890,933224,937213,+,ftsK,3989,,cell division DNA translocase FtsK,[IMP|W|Inferred from mutant phenotype],"19057667,25002583,7592387,",Weak,b0890,ECK120003064
b0891,937372,937983,+,lolA,611,,outer membrane lipoprotein carrier protein,[APPHINH|S|Assay of protein purified to homogeneity from its native host],"16091355,18029423,18218629,18503771,18621730,20802033,7628437,",Strong,b0891,ECK120003065
b0892,937994,939337,+,rarA,1343,,replication-associated recombination protein A,,,,b0892,ECK120002355
b0893,939428,940720,+,serS,1292,,serine&mdash;tRNA ligase,,,,b0893,ECK120000936
b0894,940959,943403,+,dmsA,2444,,dimethyl sulfoxide reductase subunit A,,"10801884,",,b0894,ECK120000226
b0895,943414,944031,+,dmsB,617,,dimethyl sulfoxide reductase subunit B,,,,b0895,ECK120000227
b0896,944033,944896,+,dmsC,863,,dimethyl sulfoxide reductase subunit C,,,,b0896,ECK120000228
b0897,944931,945557,-,ycaC,626,,putative hydrolase,,"9782055,",,b0897,ECK120001218
b0898,945871,947019,+,ycaD,1148,,putative transporter YcaD,,"24391520,31438868,",,b0898,ECK120001219
b0899,947229,948659,+,ycaM,1430,,putative transporter YcaM,[IMP|W|Inferred from mutant phenotype],"15380559,31438868,",Weak,b0899,ECK120003066
b0900,948660,949568,-,ycaN,908,,putative LysR-type transcriptional regulator YcaN,[HIFS|W|Human inference of function from sequence],"10734204,15556475,",Weak,b0900,ECK120003067
b0901,949668,950258,+,ycaK,590,,putative NAD(P)H-dependent oxidoreductase YcaK,[HIFS|W|Human inference of function from sequence],"12952533,24391520,",Weak,b0901,ECK120002361
b0902,950340,951080,-,pflA,740,,pyruvate formate-lyase activating enzyme,,"15781419,19055729,23274360,24324879,28768413,29954180,30097096,6369325,971302,",,b0902,ECK120000025
b0903,951272,953554,-,pflB,2282,,pyruvate formate-lyase,,"1917868,3053170,3053657,6758723,",,b0903,ECK120000693
b0904,953609,954466,-,focA,857,,formate channel FocA,,"2651404,",,b0904,ECK120001233
b0905,954872,956632,-,ycaO,1760,,ribosomal protein S12 methylthiotransferase accessory factor YcaO,[IMP|W|Inferred from mutant phenotype],"12900028,21169565,",Weak,b0905,ECK120003068
b0906,956762,957454,+,ycaP,692,,DUF421 domain-containing protein YcaP,,,,b0906,ECK120003069
b0907,957653,958741,+,serC,1088,,phosphoserine/phosphohydroxythreonine aminotransferase,,"20823845,23417802,23815967,24997624,26416585,29494135,30925016,",,b0907,ECK120000935
b0908,958812,960095,+,aroA,1283,,3-phosphoshikimate 1-carboxyvinyltransferase,,,,b0908,ECK120000069
b0909,960264,961028,+,ycaL,764,,periplasmic protease YcaL,,,,b0909,ECK120003070
b0910,961201,961884,+,cmk,683,,cytidylate kinase,,"27718375,",,b0910,ECK120001239
b0911,961995,963668,+,rpsA,1673,,30S ribosomal subunit protein S1,,"21717022,24339747,32291821,359353,",,b0911,ECK120000891
b0912,963828,964112,+,ihfB,284,,integration host factor subunit &beta;,,"28968100,7651128,7715442,",,b0912,ECK120000434
b0913,964320,966584,+,ycaI,2264,,metallo-&beta;-lactamase superfamily inner membrane protein YcaI,,,,b0913,ECK120002243
b0914,966621,968369,+,msbA,1748,,ATP-binding lipopolysaccharide transport protein,,"11546861,11685233,11782503,11921393,12195740,12667056,13678821,15339914,15890866,15890884,16511120,16782794,17185570,17185584,17965211,18024585,18803398,19132955,20412049,21462989,22523072,",,b0914,ECK120000606
b0915,968366,969352,+,lpxK,986,,tetraacyldisaccharide 4'-kinase,,"1323052,",,b0915,ECK120001375
b0916,969389,970621,+,ycaQ,1232,,interstrand DNA crosslink repair glycosylase,,,,b0916,ECK120003071
b0917,970673,970855,+,ycaR,182,,UPF0434 family protein YcaR,,,,b0917,ECK120003072
b0918,970852,971598,+,kdsB,746,,3-deoxy--octulosonate cytidylyltransferase,,"21669179,",,b0918,ECK120000512
b0919,971752,972645,+,ycbJ,893,,putative phosphotransferase YcbJ,,,,b0919,ECK120003073
b0920,972622,973401,-,elyC,779,,envelope biogenesis factor,"[IGI|W|Inferred from genetic interaction],[IFC|S|Inferred by functional complementation],[IMP|W|Inferred from mutant phenotype]","24391520,",Strong,b0920,ECK120002062
b0921,973537,974322,+,cmoM,785,,tRNA U34 methyltransferase,,,,b0921,ECK120002063
b0922,974319,975641,+,mukF,1322,,chromosome partitioning protein MukF,,,,b0922,ECK120002061
b0923,975622,976326,+,mukE,704,,chromosome partitioning protein MukE,,"21855551,",,b0923,ECK120001227
b0924,976326,980786,+,mukB,4460,,chromosome partitioning protein MukB,,"24097060,",,b0924,ECK120000611
b0925,981047,982894,+,ldtD,1847,,"L,D-transpeptidase LdtD",,"27767957,31743648,",,b0925,ECK120001228
b0926,983075,983623,+,mepK,548,,peptidoglycan LD-endopeptidase,,,,b0926,ECK120003074
b0927,983650,984297,+,gloC,647,,hydroxyacylglutathione hydrolase GloC,,"24391520,",,b0927,ECK120003075
b0928,984519,985709,-,aspC,1190,,aspartate aminotransferase,,,,b0928,ECK120000092
b0929,985894,986982,-,ompF,1088,,outer membrane porin F,,"10427722,10920012,11371193,11444879,12079356,12270719,12804762,12882645,12914905,1331031,1375155,14633108,14747308,16153185,16183883,16352602,16385048,1662760,16769257,16782785,16858566,1696133,16997866,17292122,18369514,18641391,18986168,19134471,19473960,19721064,2040634,20441746,20521145,20590090,20923644,21046046,21134352,21156129,2168378,2170338,23008773,2459611,2464593,2481821,2580220,26209678,26314242,26895142,27105118,28072422,28094462,2820945,28341438,28485920,28553265,29166022,29518576,2981807,29949342,30125859,3023382,31593635,3275653,3533941,3540530,357416,4609976,6254441,6294623,6302079,6350261,6378888,6450750,7044306,7678960,7701347,8020499,806476,9466900,9635733,",,b0929,ECK120000664
b0930,987585,988985,-,asnS,1400,,asparagine&mdash;tRNA ligase,,"6450750,8223640,8479423,",,b0930,ECK120000090
b0931,989154,990356,-,pncB,1202,,nicotinate phosphoribosyltransferase,,"4312778,",,b0931,ECK120000733
b0932,990622,993234,+,pepN,2612,,aminopeptidase N,,"2436977,2869947,3018440,3549459,355237,6140621,6147745,792681,",,b0932,ECK120000688
b0933,993277,994044,-,ssuB,767,,aliphatic sulfonate ABC transporter ATP binding subunit,,,,b0933,ECK120002226
b0934,994041,994832,-,ssuC,791,,aliphatic sulfonate ABC transporter membrane subunit,,"31438868,",,b0934,ECK120003076
b0935,994843,995988,-,ssuD,1145,,FMNH-dependent alkanesulfonate monooxygenase,,,,b0935,ECK120003077
b0936,995985,996944,-,ssuA,959,,aliphatic sulfonate ABC transporter periplasmic binding protein,,,,b0936,ECK120003078
b0937,996937,997512,-,ssuE,575,,NADPH-dependent FMN reductase,,,,b0937,ECK120003079
b0938,997868,998407,+,elfA,539,,putative laminin-binding fimbrial subunit,"[IMP|W|Inferred from mutant phenotype],[APPPINH|W|Assay of protein partially-purified from its native host]","20345943,21344461,23382825,",Weak,b0938,ECK120003080
b0939,998490,999191,+,elfD,701,,putative fimbrial chaperone ElfD,"[IMP|W|Inferred from mutant phenotype],[HIFS|W|Human inference of function from sequence]","11514505,12192075,20345943,21344461,23382825,",Weak,b0939,ECK120003081
b0940,999216,1001816,+,elfC,2600,,putative fimbrial usher protein ElfC,"[IMP|W|Inferred from mutant phenotype],[HIFS|W|Human inference of function from sequence]","12192075,20345943,21344461,23382825,",Weak,b0940,ECK120003082
b0941,1001807,1002877,+,elfG,1070,,putative fimbrial-like adhesin protein,"[IMP|W|Inferred from mutant phenotype],[HIFS|W|Human inference of function from sequence]","20345943,21344461,27718375,",Weak,b0941,ECK120003083
b0942,1002889,1003431,+,ycbU,542,,putative fimbrial protein YcbU,"[IMP|W|Inferred from mutant phenotype],[HIFS|W|Human inference of function from sequence]","20345943,21344461,23382825,",Weak,b0942,ECK120003084
b0943,1003439,1003954,+,ycbV,515,,putative fimbrial protein YcbV,"[IMP|W|Inferred from mutant phenotype],[HIFS|W|Human inference of function from sequence]","20345943,21344461,23382825,",Weak,b0943,ECK120003085
b0944,1003947,1004657,+,ycbF,710,,putative fimbrial chaperone YcbF,[HIFS|W|Human inference of function from sequence],"12192075,21344461,23382825,",Weak,b0944,ECK120002260
b0945,1004768,1005778,+,pyrD,1010,,"dihydroorotate dehydrogenase, type 2",,"338583,",,b0945,ECK120000798
b0946,1005952,1006494,+,zapC,542,,cell division protein ZapC,"[IGI|W|Inferred from genetic interaction],[IPI|W|Inferred from physical interaction]","21216995,21216997,28695917,",Weak,b0946,ECK120003086
b0947,1006491,1007600,-,ycbX,1109,,6--hydroxylaminopurine resistance protein,[IMP|W|Inferred from mutant phenotype],"18312271,",Weak,b0947,ECK120003087
b0948,1007844,1009952,+,rlmL,2108,,fused 23S rRNA mG2069 methyltransferase,,,,b0948,ECK120003088
b0949,1009964,1011871,+,uup,1907,,ATP-binding protein Uup,"[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity]","16407313,28641943,9383047,",Strong,b0949,ECK120003089
b0950,1012001,1013254,+,pqiA,1253,,intermembrane transport protein PqiA,"[IGI|W|Inferred from genetic interaction],[IEP|W|Inferred from expression pattern]","27795327,28388411,32359438,7751275,",Weak,b0950,ECK120003090
b0951,1013259,1014899,+,pqiB,1640,,intermembrane transport protein PqiB,,,,b0951,ECK120003091
b0952,1014896,1015459,+,pqiC,563,,intermembrane transport lipoprotein PqiC,[IGI|W|Inferred from genetic interaction],"27795327,28388411,",Weak,b0952,ECK120003092
b0953,1015715,1015882,+,rmf,167,,ribosome modulation factor,"[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity],[IEP|W|Inferred from expression pattern]","10543985,15743942,17277072,19170772,7677746,8440252,",Strong,b0953,ECK120002563
b0954,1015952,1016470,-,fabA,518,,&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase,,"1505031,19679654,21276098,2832401,4562395,6341354,",,b0954,ECK120000267
b0955,1016539,1018299,-,ycbZ,1760,,putative ATP-dependent protease YcbZ,,,,b0955,ECK120003093
b0956,1018485,1018937,+,matP,452,,macrodomain Ter protein,,"19951655,22532809,22820946,23632166,23859153,26762981,28358835,31266871,",,b0956,ECK120002403
b0957,1019013,1020053,-,ompA,1040,,outer membrane protein A,,"12124263,16352602,16719475,17260943,17564441,17601489,18318713,18641391,18991402,1934062,20170640,20491126,20945359,21539779,2170338,2172552,21782315,2211627,23056562,23522061,23641708,23763479,2498289,2553715,26196893,29094406,3025450,30442809,3049077,3058693,3275642,3298231,6298577,6366795,7001461,7037401,7796962,8177210,8245002,8771211,8830709,",,b0957,ECK120000662
b0958,1020410,1020919,-,sulA,509,,cell division inhibitor SulA,[IDA|S|Inferred from direct assay],"10339542,12670962,14515458,15037245,2211499,2254289,23345702,2656652,26644431,2830228,2988407,3297925,342340,3514208,3528842,3890692,3911030,6296040,6327610,6336731,6343799,6348474,6361003,6780758,6814510,6814518,6821127,7026534,7504191,7997162,9501185,",Strong,b0958,ECK120000973
b0959,1021138,1021767,+,sxy,629,,transcriptional coactivator for CRP,[IMP|W|Inferred from mutant phenotype],"17068078,25491382,",Weak,b0959,ECK120003094
b0960,1021730,1023883,-,yccS,2153,,putative transporter YccS,,"31438868,",,b0960,ECK120003095
b0961,1023902,1024348,-,yccF,446,,PF03733 family inner membrane protein YccF,,,,b0961,ECK120003096
b0962,1024471,1026525,+,helD,2054,,DNA helicase IV,[IMP|W|Inferred from mutant phenotype],"16164551,21938951,7868608,8202362,8647383,",Weak,b0962,ECK120000419
b0963,1026557,1027015,-,mgsA,458,,methylglyoxal synthase,,,,b0963,ECK120003097
b0964,1027111,1027773,-,yccT,662,,DUF2057 domain-containing protein YccT,,,,b0964,ECK120003098
b0965,1027946,1028359,+,yccU,413,,putative HspQ acetyl donor,[HIFSO|W|Human inference of function by sequence orthology],"31371438,9868784,",Weak,b0965,ECK120003099
b0966,1028404,1028721,-,hspQ,317,,heat shock protein HspQ,,,,b0966,ECK120003100
b0967,1028779,1029969,-,rlmI,1190,,23S rRNA mC1962 methyltransferase,,,,b0967,ECK120003101
b0968,1030064,1030342,+,yccX,278,,acylphosphatase,,,,b0968,ECK120003102
b0969,1030339,1030668,-,tusE,329,,sulfur transfer protein TusE,[APPH|S|Assay of protein purified  to homogeneity],"16387657,",Strong,b0969,ECK120002415
b0970,1030759,1031418,-,yccA,659,,modulator of FtsH protease,[IMP|W|Inferred from mutant phenotype],"10077851,12081643,14659883,9636708,",Weak,b0970,ECK120001099
b0971,1031625,1031712,-,serT,87,,tRNA-Ser(UGA),[TAS|W|Traceable author statement],"7033244,",Weak,b0971,ECK120002535
b0972,1032139,1033257,+,hyaA,1118,,hydrogenase 1 small subunit,,,,b0972,ECK120000461
b0973,1033254,1035047,+,hyaB,1793,,hydrogenase 1 large subunit,,"1558764,",,b0973,ECK120000462
b0974,1035066,1035773,+,hyaC,707,,hydrogenase 1 cytochrome  subunit,,,,b0974,ECK120000463
b0975,1035770,1036357,+,hyaD,587,,putative hydrogenase 1 maturation protease HyaD,[IMP|W|Inferred from mutant phenotype],"1856178,",Weak,b0975,ECK120000464
b0976,1036354,1036752,+,hyaE,398,,putative HyaA chaperone,[IPI|W|Inferred from physical interaction],"12914940,",Weak,b0976,ECK120000465
b0977,1036749,1037606,+,hyaF,857,,protein HyaF,,,,b0977,ECK120000466
b0978,1037740,1039284,+,appC,1544,,cytochrome -II ubiquinol oxidase subunit I,,,,b0978,ECK120001348
b0979,1039296,1040432,+,appB,1136,,cytochrome -II ubiquinol oxidase subunit II,,"26100898,",,b0979,ECK120001347
b4592,1040445,1040537,+,appX,92,,small protein AppX,,,,b4592,ECK120030072
b0980,1040617,1041915,+,appA,1298,,periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase,,"2168385,2993816,",,b0980,ECK120000045
b0981,1042030,1044210,-,etk,2180,,protein-tyrosine kinase Etk,[IE|W|Inferred from experiment],"10369665,",Weak,b0981,ECK120001758
b0982,1044230,1044676,-,etp,446,,phosphotyrosine-protein phosphatase Etp,[IE|W|Inferred from experiment],"11090276,",Weak,b0982,ECK120003103
b0983,1044664,1045803,-,gfcE,1139,,putative exopolysaccharide export lipoprotein GfcE,,,,b0983,ECK120003104
b0984,1045849,1047945,-,gfcD,2096,,putative lipoprotein GfcD,,,,b0984,ECK120003105
b0985,1047945,1048691,-,gfcC,746,,capsule biosynthesis GfcC family protein,,"21449614,",,b0985,ECK120003106
