index,TF,Organism,Strain,Media,Supplement,genome_id,organism_id,num_binding_sites,num_samples,num_cond,project,binding tables,curated information,accession,doi,peak_intensity_measure,Method,TF Category,PMID,Media_new,Supplement_new,Contents,Additional_Info,Motif_Available?,Motif_Parameters,Note,BWcond1_1_name,BWcond1_1,BWcond1_2_name,BWcond1_2,BWcond2_1_name,BWcond2_1,BWcond2_2_name,BWcond2_2,BWcond3_1_name,BWcond3_1,BWcond3_2_name,BWcond3_2,BWcond4_1_name,BWcond4_1,BWcond4_2_name,BWcond4_2
36,InfA,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,4,2,conformation,expo|infa_expo_binding_table.json;sta|infa_sta_binding_table.json,True,GSE181767,Kim D (Palsson),MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,exponential growth – R1,infa_expo_1.bw,exponential growth – R2,infa_expo_2.bw,stationary growth – R1,infa_sta_1.bw,stationary growth – R2,infa_sta_2.bw,,,,,,,,
37,MukB,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,4,2,conformation,expo|mukb_expo_binding_table.json;sta|mukb_sta_binding_table.json,True,GSE181767,Kim D (Palsson),MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,exponential growth – R1,mukb_expo_1.bw,exponential growth – R2,mukb_expo_2.bw,stationary growth – R1,mukb_sta_1.bw,stationary growth – R2,mukb_sta_2.bw,,,,,,,,
38,RdgC,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,4,2,conformation,expo|rdgc_expo_binding_table.json;sta|rdgc_sta_binding_table.json,True,GSE181767,Kim D (Palsson),MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,exponential growth – R1,rdgc_expo_1.bw,exponential growth – R2,rdgc_expo_2.bw,stationary growth – R1,rdgc_sta_1.bw,stationary growth – R2,rdgc_sta_2.bw,,,,,,,,
39,Rob,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,4,2,conformation,expo|rob_expo_binding_table.json;sta|rob_sta_binding_table.json,True,GSE181767,Kim D (Palsson),MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,exponential growth – R1,rob_expo_1.bw,exponential growth – R2,rob_expo_2.bw,stationary growth – R1,rob_sta_1.bw,stationary growth – R2,rob_sta_2.bw,,,,,,,,
40,StpA,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,4,2,conformation,expo|stpa_expo_binding_table.json;sta|stpa_sta_binding_table.json,True,GSE181767,Kim D (Palsson),MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,exponential growth – R1,stpa_expo_1.bw,exponential growth – R2,stpa_expo_2.bw,stationary growth – R1,stpa_sta_1.bw,stationary growth – R2,stpa_sta_2.bw,,,,,,,,
41,TopA,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,4,2,conformation,expo|topa_expo_binding_table.json;sta|topa_sta_binding_table.json,True,GSE181767,Kim D (Palsson),MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,exponential growth – R1,topa_expo_1.bw,exponential growth – R2,topa_expo_2.bw,stationary growth – R1,topa_sta_1.bw,stationary growth – R2,topa_sta_2.bw,,,,,,,,
42,Tus,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,4,2,conformation,expo|tus_expo_binding_table.json;sta|tus_sta_binding_table.json,True,GSE181767,Kim D (Palsson),MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,exponential growth – R1,tus_expo_1.bw,exponential growth – R2,tus_expo_2.bw,stationary growth – R1,tus_sta_1.bw,stationary growth – R2,tus_sta_2.bw,,,,,,,,
43,NarL,Escherichia coli,K-12 MG1655,M9,100 mM Nitrate,NC_000913.3,e_coli,,2,1,Misc,nitrate|narl_nitrate_binding_table.json,True,GSE181772,Ye,MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose},  Nitrate conditions: {100 mM Nitrate}}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,narl_nitrate_1.bw,R2,narl_nitrate_2.bw,,,,,,,,,,,,
44,PuuR,Escherichia coli,K-12 MG1655,M9,Putrescine,NC_000913.3,e_coli,,2,1,Misc,putrescine|puur_putrescine_binding_table.json,True,GSE181772,Ye,MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose},  Putrescine conditions: {20 mM Putrescine}}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,puur_putrescine_1.bw,R2,puur_putrescine_2.bw,,,,,,,,,,,,
45,RcsA,Escherichia coli,K-12 MG1655,M9,250 uM Paraquat (PQ) treatment for 20 min with stirring,NC_000913.3,e_coli,,2,1,Misc,NA,False,GSE181772,Ye,,ChIP-exo,1 – Single TF,,M9,250 uM Paraquat (PQ) treatment for 20 min with stirring,"{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,False,,,R1,rcsa_oxida_1.bw,R2,rcsa_oxida_2.bw,,,,,,,,,,,,
46,RpoB (Cra and Crp KO exps),Escherichia coli,K-12 MG1655,M9,0.2% Acetate,NC_000913.3,e_coli,,6,3,Misc,MG1655 ace|rpob (cra and crp ko exps)_MG1655 ace_binding_table.json;cra-ko ace|rpob (cra and crp ko exps)_cra-ko ace_binding_table.json;crp-ko ace|rpob (cra and crp ko exps)_crp-ko ace_binding_table.json,True,GSE65643,https://doi.org/10.1093/nar/gky069,MACE S/N,ChIP-exo,1 – Single TF,29394395.0,M9,"{Carbon Source: {0.2% Acetate}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,control (WT) – R1,mg1655_ace_rpob1.bw,control (WT) – R2,mg1655_ace_rpob2.bw,cra-KO – R1,cra_ko_ace_rpob1.bw,cra-KO – R2,cra_ko_ace_rpob2.bw,crp-KO – R1,crp_ko_ace_rpob1.bw,crp-KO – R2,crp_ko_ace_rpob2.bw,,,,
47,FlhC,Escherichia coli,K-12 MG1655,LB,--,NC_000913.3,e_coli,,2,1,public,LB|flhc_LB_binding_table.json,True,E-MTAB-2457,https://doi.org/10.1371/journal.pgen.1004649,MACE S/N,ChIP-seq,1 – Single TF,25275371.0,LB (Lysogeny Broth) or Tryptone Broth,{antibiotics (added where needed): {Ampicillin (100 ug/mL)}},"{LB: {1% NaCl, 1% tryptone, 0.5% yeast extract}, TB: {1% Tryptone, 0.5% NaCL}}","Cells were grown in Lysogeny Broth (LB: 1% NaCl, 1% tryptone, 0.5% yeast extract) or Tryptone broth (TB: 1% tryptone, 0.5% NaCl). Strains harboring plasmids were cultured with the appropriate antibiotic, as listed in Table S4 (see original publication)",True,,New curation of binding peaks performed using MACE (slight differences from publication expected),R1,ERR475432.bw,R2,ERR475433.bw,,,,,,,,,,,,
48,FlhD,Escherichia coli,K-12 MG1655,LB,--,NC_000913.3,e_coli,,2,1,public,LB|flhd_LB_binding_table.json,True,E-MTAB-2457,https://doi.org/10.1371/journal.pgen.1004649,MACE S/N,ChIP-seq,1 – Single TF,25275371.0,LB (Lysogeny Broth) or Tryptone Broth,{antibiotics (added where needed): {Ampicillin (100 ug/mL)}},"{LB: {1% NaCl, 1% tryptone, 0.5% yeast extract}, TB: {1% Tryptone, 0.5% NaCL}}","Cells were grown in Lysogeny Broth (LB: 1% NaCl, 1% tryptone, 0.5% yeast extract) or Tryptone broth (TB: 1% tryptone, 0.5% NaCl). Strains harboring plasmids were cultured with the appropriate antibiotic, as listed in Table S4 (see original publication)",True,,New curation of binding peaks performed using MACE (slight differences from publication expected),R1,ERR475429.bw,R2,ERR475430.bw,,,,,,,,,,,,
49,FliA,Escherichia coli,K-12 MG1655,LB,--,NC_000913.3,e_coli,,2,1,public,LB|flia_LB_binding_table.json,True,E-MTAB-2457,https://doi.org/10.1371/journal.pgen.1004649,MACE S/N,ChIP-seq,1 – Single TF,25275371.0,LB (Lysogeny Broth) or Tryptone Broth,{antibiotics (added where needed): {Ampicillin (100 ug/mL)}},"{LB: {1% NaCl, 1% tryptone, 0.5% yeast extract}, TB: {1% Tryptone, 0.5% NaCL}}","Cells were grown in Lysogeny Broth (LB: 1% NaCl, 1% tryptone, 0.5% yeast extract) or Tryptone broth (TB: 1% tryptone, 0.5% NaCl). Strains harboring plasmids were cultured with the appropriate antibiotic, as listed in Table S4 (see original publication)",True,,New curation of binding peaks performed using MACE (slight differences from publication expected),R1,ERR475428.bw,R2,ERR475431.bw,,,,,,,,,,,,
50,Fnr,Escherichia coli,K-12 MG1655,MOPS,--,NC_000913.3,e_coli,,2,1,public,NA,False,GSE41195,https://doi.org/10.1371/journal.pgen.1003565,,ChIP-seq,1 – Single TF,23818864.0,MOPS minimal media,{Carbon Source: {0.2% Glucose}},"{MOPS: {1.32 mM K2HPO4, 9.52 mM NH4Cl, 0.523 mM MgCl2, 0.276 mM K2SO4, 0.010 mM FeSO4, 0.0005 mM CaCl2, 50 mM NaCl, 40 mM MOPS, 4 mM Tricine}}","All strains were grown in MOPS minimal medium supplemented with 0.2% glucose (GMM) [98] at 37uC and sparged with a gas mix of 95% N2 and 5% CO2 (anaerobic) or 70% N2, 5% CO2, and 25% O2 (aerobic)",True,,,anaerobic – R1,GSM1010219_FNR_IP_ChIP-seq_Anaerobic_A.bw,anaerobic – R2,GSM1010220_FNR_IP_ChIP-seq_Anaerobic_B.bw,,,,,,,,,,,,
51,RpoD,Escherichia coli,K-12 MG1655,MOPS,--,NC_000913.3,e_coli,,4,1,public,NA,False,GSE41195,https://doi.org/10.1371/journal.pgen.1003565,,ChIP-seq,1 – Single TF,23818864.0,MOPS minimal media,{Carbon Source: {0.2% Glucose}},"{MOPS: {1.32 mM K2HPO4, 9.52 mM NH4Cl, 0.523 mM MgCl2, 0.276 mM K2SO4, 0.010 mM FeSO4, 0.0005 mM CaCl2, 50 mM NaCl, 40 mM MOPS, 4 mM Tricine}}","All strains were grown in MOPS minimal medium supplemented with 0.2% glucose (GMM) [98] at 37uC and sparged with a gas mix of 95% N2 and 5% CO2 (anaerobic) or 70% N2, 5% CO2, and 25% O2 (aerobic)",True,,,aerobic – R1,GSM1010221_Sigma70_IP_ChIP-seq_Aerobic_A_SET.bw,aerobic – R2,GSM1072326_Sigma70_IP_ChIP-seq_Aerobic_B_SET.bw,anaerobic – R1,GSM1010222_Sigma70_IP_ChIP-seq_Anaerobic_A_SET.bw,anaerobic – R2,GSM1072327_Sigma70_IP_ChIP-seq_Anaerobic_B_SET.bw,,,,,,,,
52,ArgR,Escherichia coli,K-12 MG1655,LB,1 g l-arginine,NC_000913.3,e_coli,,4,1,public,arginine|argr_arginine_binding_table.json,True,GSE60546,https://doi.org/10.1093/nar/gkv150,MACE S/N,ChIP-exo,1 – Single TF,25735747.0,LB (Luria-Bertani Broth) followed by M9 minimal media,"{Luria Broth: {150 ug kanamycin}, M9: {2 g/L glucose with/without 1 g/L arginine}}","{LB: {10 g/L Peptone, 5 g/L Yeast Extract, 5 g/L NaCl}, M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL }}",A Glycerol stock of the strain was inoculated into 3 mL Luria broth supplemented with 150 ug kanamycin and cultured overnight at 37C with constant agitation. The cultured cells were inoculated with 1:100 dilution into 50 mL of the fresh M9 medium containing 2 g/l-glucose in either the presence or absence of 1 g/l-arginine and continued to be grown at 37C until reaching an appropriate cell density (OD600 = 0.5).,True,The motif was found from the sequence between forward and reverse peak detected from ChIP-exo experiment using MEME (searched with the options of width of 42 and one per sequence),,arginine – R1,SRR3086963.bw,arginine – R2,SRR3086964.bw,(-)arginine – R1,SRR3086953.bw,(-)arginine – R2,SRR3086961.bw,,,,,,,,
53,OmpR,Escherichia coli,K-12 MG1655,M9,0.3 M NaCl,NC_000913.3,e_coli,,2,1,public,NaCl|ompr_NaCl_binding_table.json,True,GSE88979,https://doi.org/10.1038/s41598-017-02110-7,MACE S/N,ChIP-exo,1 – Single TF,28526842.0,M9,0.3 M NaCl,"{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,SRR4435462.bw,R2,SRR4435463.bw,,,,,,,,,,,,
54,RpoH,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,2,1,public,NA,False,GSE60668,BK Cho (KAIST),MACE S/N,ChIP-seq,1 – Single TF,,M9,{Carbon Source: {0.2% Glucose}},"{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,False,,,30degC – R1,SRR1556270.bw,,,42degC – R1,SRR1556272.bw,,,,,,,,,,
55,mixed-TFs-pool1a,Escherichia coli,K-12 MG1655,M9,0.2% Glucose,NC_000913.3,e_coli,,2,1,combination,M9+glu|mixed-tfs-pool1a_M9+glu_binding_table.json,True,GSE182078,Ye,MACE S/N,ChIP-exo,3 – Mixed TF,,M9,{Carbon Source: {0.2% Glucose}},"{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,False,,"Mixed TFs: YdhB,  YjhI, OxyR, YiaU, YcfQ, YidL, Mlc, Nac, YcjW",R1,mixTF_pool1_1_1.bw,R2,mixTF_pool1_1_2.bw,,,,,,,,,,,,
56,mixed-TFs-pool1b,Escherichia coli,K-12 MG1655,M9,0.2% Glucose,NC_000913.3,e_coli,,2,1,combination,M9+glu|mixed-tfs-pool1b_M9+glu_binding_table.json,True,GSE182078,Ye,MACE S/N,ChIP-exo,3 – Mixed TF,,M9,{Carbon Source: {0.2% Glucose}},"{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,False,,"Mixed TFs:  YgaV, YihL, TyrR, NtrC, ArgR, PurR, YiaJ, PdhR, SdiA",R1,mixTF_pool1_2_1.bw,R2,mixTF_pool1_2_2.bw,,,,,,,,,,,,
57,mixed-TFs-pool1c,Escherichia coli,K-12 MG1655,M9,0.2% Glucose,NC_000913.3,e_coli,,2,1,combination,M9+glu|mixed-tfs-pool1c_M9+glu_binding_table.json,True,GSE182078,Ye,MACE S/N,ChIP-exo,3 – Mixed TF,,M9,{Carbon Source: {0.2% Glucose}},"{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,False,,"Mixed TFs: StpA, AppY, LsrR, YfeD, YdcR, YbcM, YbdO, YgfI, YgbI, YnfL",R1,mixTF_pool1_3_1.bw,R2,mixTF_pool1_3_2.bw,,,,,,,,,,,,
58,mixed-TFs-pool2,Escherichia coli,K-12 MG1655,M9,0.2% Glucose,NC_000913.3,e_coli,,2,1,combination,M9+glu|mixed-tfs-pool2_M9+glu_binding_table.json,True,GSE182078,Ye,MACE S/N,ChIP-exo,3 – Mixed TF,,M9,{Carbon Source: {0.2% Glucose}},"{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,False,,"Mixed TFs: YdcN, YhjC, YneJ, SoxS, YfeC, YdiP, ArgP, GadE, YahB, YeaM",R1,mixTF_pool2_1.bw,R2,mixTF_pool2_2.bw,,,,,,,,,,,,
59,mixed-TFs-pool3,Escherichia coli,K-12 MG1655,M9,0.2% Acetate,NC_000913.3,e_coli,,2,1,combination,M9+ace|mixed-tfs-pool3_M9+ace_binding_table.json,True,GSE182078,Ye,MACE S/N,ChIP-exo,3 – Mixed TF,,M9,{Carbon Source: {0.2% Acetate}},"{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,False,,"Mixed TFs: YqhC, Rob, YcaN, YciT, YfiE, GadX, YehT",R1,mixTF_pool3_1.bw,R2,mixTF_pool3_2.bw,,,,,,,,,,,,
60,mixed-TFs-pool4,Escherichia coli,K-12 MG1655,M9,0.2% Acetate,NC_000913.3,e_coli,,2,1,combination,M9+ace|mixed-tfs-pool4_M9+ace_binding_table.json,True,GSE182078,Ye,MACE S/N,ChIP-exo,3 – Mixed TF,,M9,{Carbon Source: {0.2% Acetate}},"{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,False,,"Mixed TFs: YidZ, YedW, ArcA, YhjB",R1,mixTF_pool4_1.bw,R2,mixTF_pool4_2.bw,,,,,,,,,,,,
61,mixed-TFs-pool5,Escherichia coli,K-12 MG1655,M9,0.2% Galactose,NC_000913.3,e_coli,,2,1,combination,M9+gal|mixed-tfs-pool5_M9+gal_binding_table.json,True,GSE182078,Ye,MACE S/N,ChIP-exo,3 – Mixed TF,,M9,{Carbon Source: {0.2% Galactose}},"{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,False,,"Mixed TFs: YebK, YbeF",R1,mixTF_pool5_1.bw,R2,mixTF_pool5_2.bw,,,,,,,,,,,,
62,ArcA-1,Escherichia coli,K-12 MG1655,M9,0.2% Acetate,NC_000913.3,e_coli,,8,1,mAbs,M9+ace|arca-1_M9+ace_binding_table.json,True,GSE182077,Ye,MACE S/N,ChIP-exo,2 – mAbs,,M9,{Carbon Source: {0.2% Acetate}},"{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,monoclonal antibodies (ArcA part1),1C6,arcA_1C6.bw,1D6,arcA_1D6.bw,2A1,arcA_2A1.bw,2B6,arcA_2B6.bw,2C4,arcA_2C4.bw,2D6,arcA_2D6.bw,4A1,arcA_4A1.bw,4A3,arcA_4A3.bw
63,ArcA-2,Escherichia coli,K-12 MG1655,M9,0.2% Acetate,NC_000913.3,e_coli,,8,1,mAbs,M9+ace|arca-2_M9+ace_binding_table.json,True,GSE182077,Ye,MACE S/N,ChIP-exo,2 – mAbs,,M9,{Carbon Source: {0.2% Acetate}},"{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,monoclonal antibodies (ArcA part2),4D6,arcA_4D6.bw,5A10,arcA_5A10.bw,5B6,arcA_5B6.bw,5B9,arcA_5B9.bw,5F9,arcA_5F9.bw,5G8,arcA_5G8.bw,7B1,arcA_7B10.bw,8B2,arcA_8B2.bw
64,UvrY,Escherichia coli,K-12 MG1655,LB,--,NC_000913.3,e_coli,,1,1,public,NA,False,GSE74810,https://doi.org/10.1371/journal.pone.0145035,,ChIP-exo,1 – Single TF,,LB (Luria-Bertani) broth,"{antibiotics (added where needed): Ampicillin (100 μg/mL), tetracycline (15 μg/mL), kanamycin (50 μg/mL), chloramphenicol (25 μg/mL)","{LB: {1% NaCl, 1% tryptone, 0.5% yeast extract}}",--,False,,,R1,SRR2917944.bw,,,,,,,,,,,,,,
