locus_tag,start,stop,strand,gene_name,start_codon_pos
PA1372,1486960,1489095,-,PA1372,1489095
PA1373,1489815,1491083,-,fabF2,1491083
PA1374,1491192,1491698,+,PA1374,1491192
PA1375,1491913,1493055,+,pdxB,1491913
PA1376,1493090,1494823,-,aceK,1494823
PA1377,1494959,1495492,+,PA1377,1494959
PA1378,1495635,1495997,+,PA1378,1495635
PA1379,1496087,1496920,-,PA1379,1496920
PA1380,1497012,1497977,+,PA1380,1497012
PA1381,1498338,1498829,+,PA1381,1498338
PA1382,1498813,1501092,+,PA1382,1498813
PA1383,1501611,1503416,+,PA1383,1501611
PA1384,1503568,1504581,+,galE,1503568
PA1385,1504605,1505729,+,PA1385,1504605
PA1386,1505749,1507017,+,PA1386,1505749
PA1387,1507164,1508720,+,PA1387,1507164
PA1388,1508737,1509465,+,PA1388,1508737
PA1389,1509562,1511046,+,PA1389,1509562
PA1390,1511232,1512266,+,PA1390,1511232
PA1391,1512260,1514035,+,PA1391,1512260
PA1392,1514036,1515280,+,PA1392,1514036
PA1393,1515337,1515927,-,cysC,1515927
PA1394,1516433,1516687,+,PA1394,1516433
PA1395,1516703,1517119,+,PA1395,1516703
PA1396,1517146,1518768,-,PA1396,1518768
PA1397,1518914,1519546,+,PA1397,1518914
PA1398,1519627,1519968,+,PA1398,1519627
PA1399,1519984,1520904,-,PA1399,1520904
PA1400,1521109,1524396,+,PA1400,1521109
PA1401,1524424,1524831,-,PA1401,1524831
PA1402,1524909,1525574,-,PA1402,1525574
PA1403,1525667,1526299,+,PA1403,1525667
PA1404,1526430,1526657,-,PA1404,1526657
PA1405,1527191,1528783,+,PA1405,1527191
PA1406,1528803,1529561,-,PA1406,1529561
PA1407,1529597,1530538,-,PA1407,1530538
PA1408,1530605,1533028,-,PA1408,1533028
PA1409,1533238,1534278,+,aphA,1533238
PA1410,1534289,1535380,+,PA1410,1534289
PA1411,1535586,1536497,+,PA1411,1535586
PA1412,1536457,1537650,-,PA1412,1537650
PA1413,1537755,1538627,+,PA1413,1537755
PA1414,1538683,1538916,+,PA1414,1538683
PA1415,1538976,1539704,-,PA1415,1539704
PA1416,1539749,1541131,-,PA1416,1541131
PA1417,1541145,1542746,-,PA1417,1542746
PA1418,1542822,1544213,-,PA1418,1544213
PA1419,1544307,1545818,-,PA1419,1545818
PA1420,1545837,1546256,-,PA1420,1546256
PA1421,1546271,1547230,-,gbuA,1547230
PA1422,1547437,1548330,+,gbuR,1547437
PA1423,1548334,1549587,-,bdlA,1549587
PA1424,1549883,1550494,+,PA1424,1549883
PA1424a,1550452,1550787,-,PA1424a,1550787
PA1425,1550984,1552600,+,PA1425,1550984
PA1428a,1552566,1554155,-,PA1428a,1554155
PA1428,1554415,1554846,+,PA1428,1554415
PA1429,1555012,1557720,+,PA1429,1555012
PA1430,1558171,1558890,+,lasR,1558171
PA1431,1558880,1559122,-,rsaL,1559122
PA1432,1559254,1559859,+,lasI,1559254
PA1433,1559966,1561918,-,PA1433,1561918
PA1434,1561919,1562632,-,PA1434,1562632
PA1435,1562813,1563970,+,PA1435,1562813
PA1436,1563967,1567077,+,PA1436,1563967
PA1437,1567181,1567870,+,PA1437,1567181
PA1438,1567848,1569293,+,PA1438,1567848
PA1439,1569302,1569709,-,PA1439,1569709
PA1440,1569721,1570308,-,PA1440,1570308
PA1441,1570496,1571779,+,PA1441,1570496
PA1442,1572023,1572544,+,PA1442,1572023
PA1443,1572552,1573523,+,fliM,1572552
PA1444,1573551,1574024,+,fliN,1573551
PA1445,1574026,1574478,+,fliO,1574026
PA1446,1574475,1575242,+,fliP,1574475
PA1447,1575290,1575559,+,fliQ,1575290
PA1448,1575559,1576335,+,fliR,1575559
PA1449,1576338,1577474,+,flhB,1576338
PA1450,1577547,1578806,+,PA1450,1577547
PA1451,1578839,1580182,+,PA1451,1578839
PA1452,1580321,1582444,+,flhA,1580321
PA1453,1582528,1583817,+,flhF,1582528
PA1454,1583956,1584798,+,fleN,1583956
PA1455,1584795,1585538,+,fliA,1584795
PA1456,1585640,1586014,+,cheY,1585640
PA1457,1586034,1586822,+,cheZ,1586034
PA1458,1587023,1589284,+,PA1458,1587023
PA1459,1589338,1590444,+,PA1459,1589338
PA1460,1590533,1591273,+,motC,1590533
PA1461,1591286,1592176,+,motD,1591286
PA1462,1592271,1593059,+,PA1462,1592271
PA1463,1593151,1594041,+,PA1463,1593151
PA1464,1594087,1594566,+,PA1464,1594087
PA1465,1594597,1595004,+,PA1465,1594597
PA1466,1595032,1595718,-,PA1466,1595718
PA1467,1595827,1596798,+,PA1467,1595827
PA1468,1596889,1597305,+,PA1468,1596889
PA1469,1597365,1598087,+,PA1469,1597365
PA1470,1598221,1598958,+,PA1470,1598221
PA1471,1599024,1599320,-,PA1471,1599320
PA1472,1599428,1599982,-,PA1472,1599982
PA1473,1600083,1600418,-,PA1473,1600418
PA1474,1600415,1601893,-,PA1474,1601893
PA1475,1602179,1602880,+,ccmA,1602179
PA1476,1602877,1603548,+,ccmB,1602877
PA1477,1603671,1604429,+,ccmC,1603671
PA1478,1604426,1604602,+,PA1478,1604426
PA1479,1604599,1605087,+,ccmE,1604599
PA1480,1605088,1607061,+,ccmF,1605088
PA1481,1607065,1607607,+,ccmG,1607065
PA1482,1607604,1608071,+,ccmH,1607604
PA1483,1608068,1609291,+,cycH,1608068
PA1483a,1609318,1609734,+,PA1483a,1609318
PA1484,1609738,1610544,-,PA1484,1610544
PA1485,1610745,1612112,+,PA1485,1610745
PA1486,1612126,1613226,+,PA1486,1612126
PA1487,1613234,1614649,-,PA1487,1614649
PA1488,1614670,1615908,-,PA1488,1615908
PA1489,1615895,1617085,-,PA1489,1617085
PA1490,1617489,1618265,-,PA1490,1618265
PA1491,1618612,1619847,+,PA1491,1618612
PA1492,1619907,1620263,+,PA1492,1619907
PA1493,1620345,1621343,-,cysP,1621343
PA1494,1621472,1623127,-,PA1494,1623127
PA1495,1623251,1623877,-,PA1495,1623877
PA1496,1623864,1624715,-,PA1496,1624715
PA1497,1624781,1625695,-,PA1497,1625695
PA1498,1626062,1627495,-,pykF,1627495
PA1499,1627497,1628762,-,PA1499,1628762
PA1500,1629059,1629949,-,PA1500,1629949
PA1501,1630024,1630806,-,PA1501,1630806
PA1502,1630902,1632677,-,gcl,1632677
PA1503,1633006,1633437,+,PA1503,1633006
PA1504,1633842,1634492,-,PA1504,1634492
PA1505,1634728,1635723,+,moaA2,1634728
PA1506,1635908,1636237,+,PA1506,1635908
PA1507,1636329,1637696,-,PA1507,1637696
PA1508,1638379,1638639,-,PA1508,1638639
PA1509,1638652,1639794,-,PA1509,1639794
PA1510,1639791,1641500,-,PA1510,1641500
PA1511,1641497,1644025,-,PA1511,1644025
PA1512,1644207,1644725,-,hcpA,1644725
PA1513,1645211,1646488,-,PA1513,1646488
PA1514,1646537,1647046,-,PA1514,1647046
PA1515,1647101,1648099,-,alc,1648099
PA1516,1648117,1648632,-,PA1516,1648632
PA1517,1648629,1649555,-,PA1517,1649555
PA1518,1649928,1650308,+,PA1518,1649928
PA1519,1650549,1651898,-,PA1519,1651898
PA1520,1652273,1653052,+,PA1520,1652273
PA1521,1653106,1654410,-,PA1521,1654410
PA1522,1654480,1655319,-,PA1522,1655319
PA1523,1655346,1657745,-,xdhB,1657745
PA1524,1657738,1659192,-,xdhA,1659192
PA1525,1659413,1660546,-,alkB2,1660546
PA1526,1660727,1661386,+,PA1526,1660727
PA1527,1661412,1664900,+,PA1527,1661412
PA1528,1665065,1665934,+,zipA,1665065
PA1529,1666025,1668409,+,lig,1666025
PA1530,1668455,1668832,+,PA1530,1668455
PA1530.1,1668840,1669799,+,ffs,1668840
PA1531,1669086,1669952,-,PA1531,1669952
PA1532,1669989,1672034,+,dnaX,1669989
PA1533,1672080,1672406,+,PA1533,1672080
PA1534,1672485,1673081,+,recR,1672485
PA1535,1673204,1674352,+,PA1535,1673204
PA1536,1674365,1674904,-,PA1536,1674904
PA1537,1674978,1675865,-,PA1537,1675865
PA1538,1675862,1677445,-,PA1538,1677445
PA1539,1677559,1678407,+,PA1539,1677559
PA1540,1678261,1678590,-,PA1540,1678590
PA1541,1678584,1678952,-,PA1541,1678952
PA1542,1679361,1680197,-,PA1542,1680197
PA1543,1680437,1680985,-,apt,1680985
PA1544,1681071,1681805,-,anr,1681805
PA1545,1682051,1682518,+,PA1545,1682051
PA1546,1682567,1683949,-,hemN,1683949
PA1547,1684077,1684760,-,PA1547,1684760
PA1548,1684753,1684962,-,PA1548,1684962
PA1549,1684941,1687376,-,PA1549,1687376
PA1550,1687373,1687912,-,PA1550,1687912
PA1551,1687924,1689339,-,PA1551,1689339
PA1552,1689557,1690513,-,ccoP1,1690513
PA1552.1,1690510,1690695,-,ccoQ1,1690695
PA1553,1690701,1691312,-,ccoO1,1691312
PA1554,1691327,1692754,-,ccoN1,1692754
PA1555,1693119,1694045,-,ccoP2,1694045
PA1555.1,1694042,1694227,-,ccoQ2,1694227
PA1556,1694233,1694841,-,ccoO2,1694841
PA1557,1694852,1696279,-,ccoN2,1696279
PA1558,1696467,1697099,+,PA1558,1696467
PA1561,1698382,1699947,-,aer,1699947
PA1562,1700320,1703052,-,acnA,1703052
PA1563,1703379,1704437,+,PA1563,1703379
PA1564,1704522,1704761,+,PA1564,1704522
PA1565,1704793,1706103,-,PA1565,1706103
PA1566,1706172,1707536,-,PA1566,1707536
PA1567,1708004,1709401,-,PA1567,1709401
PA1568,1709412,1709765,-,PA1568,1709765
PA1569,1709821,1711191,-,PA1569,1711191
PA1570,1711569,1712450,+,PA1570,1711569
PA1571,1712519,1712698,-,PA1571,1712698
PA1572,1712908,1714053,+,PA1572,1712908
PA1573,1714064,1714660,+,PA1573,1714064
PA1574,1714778,1715059,-,PA1574,1715059
PA1575,1715154,1715705,-,PA1575,1715705
PA1576,1715809,1716675,+,PA1576,1715809
PA1577,1716682,1717023,-,PA1577,1717023
PA1578,1717139,1717894,+,PA1578,1717139
PA1578a,1717998,1718252,+,PA1578a,1717998
PA1579,1718386,1718994,+,PA1579,1718386
PA1580,1719109,1720395,-,gltA,1720395
PA1581,1720744,1721130,+,sdhC,1720744
PA1582,1721124,1721492,+,sdhD,1721124
PA1583,1721496,1723268,+,sdhA,1721496
PA1584,1723280,1723987,+,sdhB,1723280
PA1585,1724244,1727075,+,sucA,1724244
PA1586,1727118,1728347,+,sucB,1727118
PA1587,1728416,1729852,+,lpdG,1728416
PA1588,1730181,1731347,+,sucC,1730181
PA1589,1731347,1732234,+,sucD,1731347
PA1590,1732545,1733858,+,braB,1732545
PA1591,1734004,1734768,+,PA1591,1734004
PA1592,1734827,1735063,-,PA1592,1735063
PA1593,1735236,1735709,+,PA1593,1735236
PA1594,1735706,1736152,+,PA1594,1735706
PA1595,1736189,1737418,+,PA1595,1736189
PA1596,1737536,1739440,+,htpG,1737536
PA1597,1739508,1740233,+,PA1597,1739508
PA1598,1740244,1741065,-,PA1598,1741065
PA1599,1741146,1741928,+,PA1599,1741146
PA1600,1741939,1743240,-,PA1600,1743240
PA1601,1743290,1745536,-,PA1601,1745536
PA1602,1745533,1746024,-,PA1602,1746024
PA1603,1746231,1746653,-,PA1603,1746653
PA1604,1746692,1747597,-,PA1604,1747597
PA1605,1747596,1748630,+,PA1605,1747596
PA1606,1748699,1749175,+,PA1606,1748699
PA1607,1749349,1749789,-,PA1607,1749789
PA1608,1749895,1751520,-,PA1608,1751520
PA1609,1751674,1752891,-,fabB,1752891
PA1610,1752903,1753418,-,fabA,1753418
PA1611,1753607,1755562,-,PA1611,1755562
PA1612,1755559,1756317,-,PA1612,1756317
PA1613,1756489,1758597,-,PA1613,1758597
PA1614,1758748,1759770,+,gpsA,1758748
PA1615,1759784,1760125,+,PA1615,1759784
PA1616,1760122,1760586,+,PA1616,1760122
PA1617,1760713,1762380,+,PA1617,1760713
PA1618,1762433,1762870,+,PA1618,1762433
PA1619,1762928,1763752,+,PA1619,1762928
PA1620,1763793,1764434,+,PA1620,1763793
PA1621,1764536,1765348,+,PA1621,1764536
PA1622,1765345,1766205,+,PA1622,1765345
PA1623,1766285,1766947,+,PA1623,1766285
PA1624,1766956,1767762,+,PA1624,1766956
PA1625,1767928,1768995,+,PA1625,1767928
PA1626,1769047,1770321,-,PA1626,1770321
PA1627,1770337,1770984,-,PA1627,1770984
PA1628,1771122,1772651,-,PA1628,1772651
PA1629,1772655,1773440,-,PA1629,1773440
PA1630,1773682,1774548,+,PA1630,1773682
PA1631,1774603,1775757,+,PA1631,1774603
PA1632,1775849,1776034,+,kdpF,1775849
PA1633,1776045,1777739,+,kdpA,1776045
PA1634,1777751,1779823,+,kdpB,1777751
PA1635,1779877,1780428,+,kdpC,1779877
PA1636,1780536,1783193,+,kdpD,1780536
PA1637,1783294,1783986,+,kdpE,1783294
PA1638,1784108,1785016,+,PA1638,1784108
PA1639,1785127,1785732,+,PA1639,1785127
PA1640,1785736,1786773,-,PA1640,1786773
PA1641,1786888,1787166,+,PA1641,1786888
PA1642,1787250,1788284,+,selD,1787250
PA1643,1788284,1789393,+,PA1643,1788284
PA1643a,1789372,1789719,-,PA1643a,1789719
PA1644,1789857,1790465,+,PA1644,1789857
PA1645,1790472,1790879,-,PA1645,1790879
PA1646,1791080,1793038,+,PA1646,1791080
PA1647,1793019,1794740,-,PA1647,1794740
PA1648,1794883,1795887,-,PA1648,1795887
PA1649,1796138,1796899,+,PA1649,1796138
PA1650,1797058,1797951,+,PA1650,1797058
PA1651,1797958,1799154,-,PA1651,1799154
PA1652,1799385,1800020,+,PA1652,1799385
PA1653,1800071,1800547,-,PA1653,1800547
PA1654,1800629,1801795,+,PA1654,1800629
PA1655,1801851,1802453,+,PA1655,1801851
PA1656,1803626,1805182,+,PA1656,1803626
PA1657,1805218,1805724,+,PA1657,1805218
PA1658,1805753,1807228,+,PA1658,1805753
PA1659,1807241,1807648,+,PA1659,1807241
PA1660,1808193,1809773,+,PA1660,1808193
PA1661,1809737,1810744,+,PA1661,1809737
PA1662,1810751,1813384,+,PA1662,1810751
PA1663,1813395,1814906,+,PA1663,1813395
PA1664,1814995,1815135,+,PA1664,1814995
PA1665,1815153,1816346,+,PA1665,1815153
PA1666,1816352,1816858,+,PA1666,1816352
PA1667,1816855,1818186,+,PA1667,1816855
PA1668,1818189,1819058,+,PA1668,1818189
PA1669,1819074,1822601,+,PA1669,1819074
PA1670,1822601,1823329,+,stp1,1822601
PA1671,1823326,1824315,+,stk1,1823326
PA1672,1824343,1824723,-,PA1672,1824723
PA1673,1824969,1825430,+,PA1673,1824969
PA1674,1825495,1826040,-,folE2,1826040
PA1675,1826118,1826675,-,PA1675,1826675
PA1676,1826732,1827052,-,PA1676,1827052
PA1677,1827225,1827821,-,PA1677,1827821
PA1678,1827992,1828906,+,PA1678,1827992
PA1679,1828931,1829710,-,PA1679,1829710
PA1680,1829788,1830771,-,PA1680,1830771
PA1681,1830879,1831970,+,aroC,1830879
PA1682,1832014,1833165,+,PA1682,1832014
PA1683,1833162,1833779,+,PA1683,1833162
PA1684,1833776,1834321,+,PA1684,1833776
PA1685,1834393,1835142,+,masA,1834393
PA1686,1835325,1836218,-,alkA,1836218
PA1687,1836367,1837227,+,speE,1836367
PA1688,1837388,1838257,+,PA1688,1837388
PA1689,1838260,1840362,+,PA1689,1838260
PA1690,1840468,1841517,-,pscU,1841517
PA1691,1841514,1842302,-,pscT,1842302
PA1692,1842299,1842565,-,PA1692,1842565
PA1693,1842568,1843221,-,pscR,1843221
PA1694,1843218,1844147,-,pscQ,1844147
PA1695,1844144,1845253,-,pscP,1845253
PA1696,1845241,1845717,-,pscO,1845717
PA1697,1845714,1847036,-,PA1697,1847036
PA1698,1847227,1848093,+,popN,1847227
PA1699,1848074,1848352,+,PA1699,1848074
PA1700,1848339,1848710,+,PA1700,1848339
PA1701,1848707,1849072,+,PA1701,1848707
PA1702,1849077,1849406,+,PA1702,1849077
PA1703,1849403,1851523,+,pcrD,1849403
PA1704,1851520,1851954,+,pcrR,1851520
PA1705,1851982,1852278,+,pcrG,1851982
PA1706,1852288,1853172,+,pcrV,1852288
PA1707,1853181,1853684,+,pcrH,1853181
PA1708,1853665,1854837,+,popB,1853665
PA1709,1854849,1855736,+,popD,1854849
PA1710,1855862,1856299,+,exsC,1855862
PA1711,1856308,1856553,+,PA1711,1856308
PA1712,1856562,1856975,+,exsB,1856562
PA1713,1857273,1858109,+,exsA,1857273
PA1714,1858207,1859037,+,exsD,1858207
PA1715,1859071,1859493,+,pscB,1859071
PA1716,1859493,1861295,+,pscC,1859493
PA1717,1861297,1862595,+,pscD,1861297
PA1718,1862558,1862761,+,pscE,1862558
PA1719,1862764,1863021,+,pscF,1862764
PA1720,1863024,1863371,+,pscG,1863024
PA1721,1863368,1863799,+,pscH,1863368
PA1722,1863799,1864137,+,pscI,1863799
PA1723,1864134,1864880,+,pscJ,1864134
PA1724,1864889,1865515,+,pscK,1864889
PA1725,1865494,1866138,+,pscL,1865494
PA1726,1866241,1868535,-,bglX,1868535
PA1727,1868706,1870763,-,mucR,1870763
PA1728,1871116,1871457,+,PA1728,1871116
PA1729,1871555,1872202,+,PA1729,1871555
PA1730,1872602,1874014,+,PA1730,1872602
PA1731,1874017,1874970,+,PA1731,1874017
PA1732,1874967,1875767,+,PA1732,1874967
PA1733,1875849,1876580,+,PA1733,1875849
PA1734,1876588,1877409,-,PA1734,1877409
PA1735,1877522,1878409,+,PA1735,1877522
PA1736,1878980,1880185,+,PA1736,1878980
PA1737,1880199,1882343,+,PA1737,1880199
PA1738,1882595,1883509,-,PA1738,1883509
PA1739,1883661,1884632,+,PA1739,1883661
PA1740,1884655,1885653,+,PA1740,1884655
PA1741,1885662,1886033,-,PA1741,1886033
PA1742,1886278,1887000,+,PA1742,1886278
PA1743,1887058,1887297,-,PA1743,1887297
PA1744,1887325,1887543,-,PA1744,1887543
PA1745,1887698,1888186,-,PA1745,1888186
PA1746,1888407,1888913,+,PA1746,1888407
PA1747,1888985,1889173,-,PA1747,1889173
PA1748,1889323,1890012,-,PA1748,1890012
PA1749,1890196,1890681,+,PA1749,1890196
PA1750,1890739,1891815,-,PA1750,1891815
PA1751,1892133,1892510,+,PA1751,1892133
PA1752,1892510,1893457,+,PA1752,1892510
PA1753,1893620,1894117,+,PA1753,1893620
PA1754,1894249,1895223,+,cysB,1894249
PA1755,1895280,1895627,-,PA1755,1895627
PA1756,1895692,1896495,-,cysH,1896495
PA1757,1896630,1897247,+,thrH,1896630
PA1758,1897290,1898651,-,pabB,1898651
PA1759,1898816,1901521,+,PA1759,1898816
PA1760,1901524,1904247,+,PA1760,1901524
PA1761,1904479,1904916,+,PA1761,1904479
PA1762,1904995,1905756,+,PA1762,1904995
PA1763,1905797,1906822,+,PA1763,1905797
PA1764,1906842,1908440,+,PA1764,1906842
PA1765,1908454,1909641,+,PA1765,1908454
PA1766,1909698,1910681,-,PA1766,1910681
PA1767,1910685,1912211,-,PA1767,1912211
PA1768,1912217,1912756,-,PA1768,1912756
PA1769,1913047,1913871,-,PA1769,1913871
PA1770,1914037,1916412,+,ppsA,1914037
PA1771,1916482,1917492,+,estX,1916482
PA1772,1917599,1918087,+,PA1772,1917599
PA1773,1918275,1919273,+,cmaX,1918275
PA1774,1919322,1919576,+,crfX,1919322
PA1775,1919579,1920403,+,cmpX,1919579
PA1776,1920568,1921065,+,sigX,1920568
PA1777,1921174,1922226,+,oprF,1921174
PA1778,1922295,1923032,-,cobA,1923032
PA1779,1923044,1925770,-,PA1779,1925770
PA1780,1925797,1926123,-,nirD,1926123
PA1781,1926176,1928626,-,nirB,1928626
PA1781.1,1928666,1928886,-,PA1781.1,1928886
PA1782,1928894,1930489,-,PA1782,1930489
PA1783,1930564,1931775,-,nasA,1931775
PA1784,1932129,1932824,-,PA1784,1932824
PA1785,1933054,1933632,-,PA1785,1933632
PA1786,1933649,1934857,-,PA1786,1934857
PA1787,1935035,1937644,-,acnB,1937644
PA1788,1938026,1938493,+,PA1788,1938026
PA1789,1938549,1939412,-,PA1789,1939412
PA1790,1939583,1940206,+,PA1790,1939583
PA1791,1940255,1941586,-,PA1791,1941586
PA1792,1941720,1942442,-,PA1792,1942442
PA1793,1942447,1942944,-,ppiB,1942944
PA1794,1943067,1944737,+,glnS,1943067
PA1795,1944747,1946129,+,cysS,1944747
PA1796,1946187,1947041,-,folD,1947041
PA1796.1,1947320,1947396,+,PA1796.1,1947320
PA1796.2,1947448,1947523,+,PA1796.2,1947448
PA1796.3,1947578,1947662,+,PA1796.3,1947578
PA1796.4,1947729,1947804,+,PA1796.4,1947729
PA1797a,1947994,1948215,+,PA1797a,1947994
PA1797,1948502,1950334,-,PA1797,1950334
PA1798,1950439,1951725,-,parS,1951725
PA1799,1951726,1952433,-,parR,1952433
PA1800,1952665,1953975,+,tig,1952665
PA1801,1954069,1954710,+,clpP,1954069
PA1802,1954815,1956095,+,clpX,1954815
PA1803,1956227,1958623,+,lon,1956227
PA1804,1958759,1959031,+,hupB,1958759
PA1804.1,1959083,1959159,+,PA1804.1,1959083
PA1805,1959263,1961128,+,ppiD,1959263
PA1806,1961227,1962024,-,fabI,1962024
PA1807,1962046,1963656,-,PA1807,1963656
PA1808,1963658,1964677,-,PA1808,1964677
PA1809,1964682,1965764,-,PA1809,1965764
PA1810,1965771,1967618,-,PA1810,1967618
PA1811,1967615,1969444,-,PA1811,1969444
PA1812,1969635,1971239,-,mltD,1971239
PA1813,1971317,1972093,-,PA1813,1972093
PA1814,1972195,1972956,+,PA1814,1972195
PA1815,1972959,1973405,+,rnhA,1972959
PA1816,1973470,1974210,+,dnaQ,1973470
PA1817,1974238,1974627,-,PA1817,1974627
PA1818,1974821,1977076,+,ldcA,1974821
PA1819,1977100,1978455,+,PA1819,1977100
PA1820,1978439,1979941,-,nhaB,1979941
PA1821,1980165,1980977,+,PA1821,1980165
PA1822,1981017,1982705,+,fimL,1981017
PA1823,1982705,1983541,+,PA1823,1982705
PA1824,1983509,1984288,-,PA1824,1984288
PA1825,1984389,1985033,+,PA1825,1984389
PA1826,1985030,1985935,-,PA1826,1985935
PA1827,1986067,1986828,+,PA1827,1986067
PA1828,1986989,1987756,-,PA1828,1987756
PA1829,1987781,1988851,-,PA1829,1988851
PA1830,1989109,1989423,-,PA1830,1989423
PA1831,1989484,1990194,-,PA1831,1990194
PA1832,1990428,1991453,+,PA1832,1990428
PA1833,1991512,1992504,+,PA1833,1991512
PA1833a,1992491,1993366,-,PA1833a,1993366
PA1835,1993461,1993898,-,PA1835,1993898
PA1836,1994021,1994602,+,PA1836,1994021
PA1837,1994667,1995164,-,PA1837,1995164
PA1838,1995148,1996806,-,cysI,1996806
PA1837a,1997217,1997444,-,PA1837a,1997444
PA1839,1997509,1998549,-,PA1839,1998549
PA1840,1998587,1998949,+,PA1840,1998587
PA1841,1998963,1999460,+,PA1841,1998963
PA1842,1999512,1999874,-,PA1842,1999874
PA1843,1999889,2003593,-,metH,2003593
PA1844,2003868,2004332,-,PA1844,2004332
PA1845,2004374,2004892,-,PA1845,2004892
PA1846,2005254,2007542,+,cti,2005254
PA1847,2007665,2008249,+,PA1847,2007665
PA1848,2008308,2009477,-,PA1848,2009477
PA1849,2009482,2009724,-,PA1849,2009724
PA1850,2009747,2010751,-,PA1850,2010751
PA1851,2011000,2012205,+,PA1851,2011000
PA1852,2012255,2012530,-,PA1852,2012530
PA1853,2012815,2013678,+,PA1853,2012815
PA1854,2013666,2014823,-,PA1854,2014823
PA1855,2014915,2015136,-,PA1855,2015136
PA1856,2015139,2016581,-,PA1856,2016581
PA1857,2016928,2017851,-,PA1857,2017851
PA1858,2017967,2018794,-,str,2018794
PA1859,2018803,2019690,-,PA1859,2019690
PA1860,2019776,2020603,+,PA1860,2019776
PA1861,2020625,2021710,-,modC,2021710
PA1862,2021712,2022398,-,modB,2022398
PA1863,2022411,2023166,-,modA,2023166
PA1864,2023281,2023931,-,PA1864,2023931
PA1865,2024065,2025744,+,PA1865,2024065
PA1866,2025737,2028013,+,PA1866,2025737
PA1866a,2028103,2028312,+,PA1866a,2028103
PA1867,2028454,2028981,+,xphA,2028454
PA1868,2028968,2031298,+,xqhA,2028968
PA1869,2031466,2031705,+,PA1869,2031466
PA1870,2031988,2032413,+,PA1870,2031988
PA1871,2032695,2033951,+,lasA,2032695
PA1872,2034066,2034857,-,PA1872,2034857
PA1873,2034918,2035940,-,PA1873,2035940
PA1874,2036441,2043847,+,PA1874,2036441
PA1875,2043847,2045124,+,PA1875,2043847
PA1876,2045114,2047285,+,PA1876,2045114
PA1877,2047275,2048462,+,PA1877,2047275
PA1878,2048570,2049148,-,PA1878,2049148
PA1879,2049237,2049791,-,PA1879,2049791
PA1880,2049949,2052144,-,PA1880,2052144
PA1881,2052149,2052610,-,PA1881,2052610
PA1882,2052941,2053264,+,PA1882,2052941
PA1883,2053277,2053675,+,PA1883,2053277
PA1884,2053672,2054223,-,PA1884,2054223
PA1885,2054309,2054842,+,PA1885,2054309
PA1886,2054911,2057274,+,polB,2054911
PA1887,2057278,2057946,-,PA1887,2057946
PA1888,2057930,2059339,-,PA1888,2059339
PA1889,2059569,2060552,+,PA1889,2059569
PA1890,2060566,2061189,-,PA1890,2061189
PA1891,2061278,2061667,-,PA1891,2061667
PA1892,2061664,2062401,-,PA1892,2062401
PA1893,2062398,2064827,-,PA1893,2064827
PA1894,2064853,2065545,-,PA1894,2065545
PA1895,2065493,2066767,-,PA1895,2066767
PA1896,2066786,2067955,-,PA1896,2067955
PA1897,2067961,2068728,-,PA1897,2068728
PA1898,2069490,2070203,+,qscR,2069490
PA1899,2070685,2071173,+,phzA2,2070685
PA1900,2071209,2071697,+,phzB2,2071209
PA1901,2071721,2072938,+,phzC2,2071721
PA1902,2072935,2073558,+,phzD2,2072935
PA1903,2073555,2075438,+,phzE2,2073555
PA1904,2075452,2076288,+,phzF2,2075452
PA1905,2076311,2076958,+,phzG2,2076311
PA1906,2077047,2077583,-,PA1906,2077583
PA1907,2077626,2079266,-,PA1907,2079266
PA1908,2079263,2080474,-,PA1908,2080474
PA1909,2080661,2081812,-,PA1909,2081812
PA1910,2081853,2084267,-,femA,2084267
PA1911,2084476,2085426,-,femR,2085426
PA1912,2085423,2085929,-,femI,2085929
PA1913,2086021,2086701,-,PA1913,2086701
PA1914,2086808,2088034,-,PA1914,2088034
PA1915,2088602,2090149,-,PA1915,2090149
PA1916,2090213,2091445,-,PA1916,2091445
PA1917,2091490,2091837,-,PA1917,2091837
PA1918,2091850,2093250,-,PA1918,2093250
PA1919,2093444,2094142,-,nrdG,2094142
PA1920,2094329,2096356,-,nrdD,2096356
PA1921,2096514,2097323,-,PA1921,2097323
PA1922,2097491,2099452,+,PA1922,2097491
PA1923,2099452,2103297,+,PA1923,2099452
PA1924,2103294,2103770,+,PA1924,2103294
PA1925,2103770,2104096,+,PA1925,2103770
PA1926,2104597,2106447,+,PA1926,2104597
PA1927,2106580,2108880,+,metE,2106580
PA1928,2108942,2109511,-,rimJ,2109511
PA1929,2109558,2109854,-,PA1929,2109854
PA1930,2110226,2111521,+,PA1930,2110226
PA1931,2111691,2112203,+,PA1931,2111691
PA1932,2112200,2113189,+,PA1932,2112200
PA1933,2113186,2115390,+,PA1933,2113186
PA1934,2115885,2116265,+,PA1934,2115885
PA1937,2118585,2118893,+,PA1937,2118585
PA1938,2118926,2119747,+,PA1938,2118926
PA1939,2120225,2122222,-,PA1939,2122222
PA1940,2122579,2123718,-,PA1940,2123718
PA1941,2123897,2125792,-,PA1941,2125792
PA1942,2126104,2126334,-,PA1942,2126334
PA1943,2126396,2127493,-,PA1943,2127493
PA1944,2127684,2129171,+,PA1944,2127684
PA1945,2129307,2130635,+,PA1945,2129307
